ST04Q01,ST24Q02,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,274.0,321.0,252.0,126.0,420.0,19.0,175.0,231.0,440.0,153.0
Female,Disagree,193.0,309.0,155.0,74.0,282.0,7.0,81.0,338.0,168.0,68.0
Female,Strongly agree,213.0,156.0,285.0,36.0,377.0,2.0,117.0,138.0,211.0,124.0
Female,Strongly disagree,75.0,103.0,39.0,14.0,78.0,3.0,16.0,176.0,17.0,9.0
Male,Agree,268.0,295.0,248.0,131.0,481.0,25.0,165.0,324.0,606.0,214.0
Male,Disagree,173.0,256.0,134.0,82.0,228.0,13.0,68.0,274.0,227.0,78.0
Male,Strongly agree,251.0,176.0,279.0,55.0,514.0,22.0,121.0,250.0,398.0,132.0
Male,Strongly disagree,84.0,126.0,28.0,18.0,87.0,17.0,16.0,157.0,33.0,22.0
