ST04Q01,ST80Q04,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,167,484,871,237,265,1552,466,1569,504,158,376,611,172,230,138,222,277,150,365,183,164,185,189,157,199,114,221,370,395,1159,169,857,317,56,108,12,216,225,312,244,165,2165,181,136,298,79,69,532,225,415,899,299,203,150,341,165,149,1460,72,474,382,252,189,1015,1001,454,371,64
Female,Never or rarely,85,216,331,121,375,626,63,388,171,278,102,362,7,300,201,161,113,198,199,27,181,69,306,118,102,199,189,147,103,1404,375,115,74,433,83,1,76,143,79,322,20,1105,168,128,92,224,23,155,62,101,260,202,84,206,121,92,169,843,292,173,79,164,203,192,267,80,146,306
Female,Often,458,617,1781,644,902,2045,692,2810,781,320,873,886,228,338,478,601,1038,526,1070,252,540,651,492,502,717,345,758,667,764,3466,496,940,813,232,529,50,621,733,777,437,249,3435,483,507,578,403,216,625,651,727,1289,580,611,450,738,509,491,2801,316,1620,982,491,364,1512,1731,609,608,329
Female,Sometimes,594,637,1620,533,1190,2176,449,2333,817,1005,704,1090,131,698,833,758,1008,744,1212,170,686,492,726,621,621,469,692,496,501,4015,927,485,727,839,742,21,604,563,567,761,147,4809,719,593,427,782,255,640,609,610,951,654,790,738,628,668,941,3273,834,1430,1066,616,790,1050,1121,435,652,1040
Male,Always or almost always,199,484,1112,264,317,1459,493,1669,530,210,427,591,159,230,209,296,339,164,395,172,177,227,258,204,227,174,274,346,371,1448,252,741,412,99,163,19,249,303,303,235,166,2418,260,168,334,112,87,544,205,471,1043,345,319,230,419,234,216,1602,156,559,286,225,244,1115,1042,474,382,89
Male,Never or rarely,84,153,275,83,338,405,65,307,124,174,129,246,12,160,123,92,94,161,155,21,122,66,220,120,61,125,152,107,71,1148,342,139,49,397,72,3,44,123,71,243,9,645,125,124,58,164,15,80,78,90,238,161,56,118,75,59,148,733,209,160,55,134,145,201,185,61,118,207
Male,Often,465,715,2024,753,1013,1997,720,3070,905,386,766,954,243,399,558,659,1110,557,1150,265,515,631,515,610,697,361,760,702,617,3945,639,884,764,393,505,53,685,763,858,450,222,3692,523,566,640,504,253,636,625,800,1311,561,700,516,844,653,746,3145,446,1698,783,427,531,1464,1901,722,603,326
Male,Sometimes,606,453,1301,457,1015,1757,420,1790,658,927,630,889,122,500,762,649,827,662,1138,157,604,418,673,687,526,479,637,484,354,3888,969,338,660,898,610,29,573,557,568,701,143,3881,579,590,359,723,234,553,574,486,674,546,682,614,492,640,907,2763,708,1269,730,472,708,848,1031,411,470,923
