ST04Q01,ST77Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,670,900,2481,521,1092,2830,667,3924,1118,974,928,1437,295,781,421,756,874,694,1443,292,523,497,527,492,544,551,841,766,688,1583,624,1281,1069,396,611,41,731,564,596,922,323,6260,599,424,669,462,252,866,522,1004,1895,581,870,592,949,526,518,2731,574,1651,1416,472,596,2012,2365,758,729,773
Female,Most Lessons,377,528,1245,401,861,1780,458,1966,621,501,774,787,169,409,483,475,802,484,905,177,480,431,486,576,501,383,486,453,480,2796,847,636,592,698,523,25,443,455,628,499,175,2856,445,480,407,553,194,551,494,510,902,466,490,472,640,433,527,2471,529,1088,672,433,442,1053,1073,469,437,641
Female,Never or Hardly Ever,28,138,156,208,155,443,108,225,138,38,27,174,15,94,174,93,168,55,79,27,173,135,177,37,132,46,76,111,190,1862,85,118,21,56,51,1,55,210,43,37,13,438,164,111,47,93,19,93,102,56,123,191,58,111,20,101,201,847,79,235,28,192,78,120,109,51,174,22
Female,Some Lessons,236,409,740,413,635,1425,440,990,400,246,323,636,67,282,581,414,608,386,433,137,406,338,522,295,473,154,450,352,416,3802,411,364,254,413,277,19,297,451,466,319,75,1956,361,345,270,387,99,492,431,275,519,490,271,376,225,380,512,2335,333,728,393,443,428,612,591,310,458,320
Male,Every Lesson,715,825,2521,638,1136,2702,714,3724,1062,969,872,1337,307,704,478,763,974,645,1475,272,545,558,560,597,580,589,755,722,498,2061,731,1103,971,430,563,45,710,652,677,768,330,5842,642,460,712,503,288,862,540,1041,1650,597,905,662,946,580,593,2756,689,1753,1030,436,622,1864,2316,825,684,775
Male,Most Lessons,382,497,1344,471,855,1568,514,2016,621,468,703,746,163,337,551,529,865,525,957,216,412,417,517,657,521,396,482,475,456,3266,942,553,622,811,505,37,476,526,636,490,150,2843,427,567,417,594,197,518,484,523,998,451,495,451,671,544,682,2535,516,1140,513,327,471,993,1238,522,422,545
Male,Never or Hardly Ever,31,133,161,142,178,344,117,220,147,38,64,118,8,65,153,91,137,49,75,25,146,116,132,48,108,40,114,105,177,1600,130,186,32,85,45,5,69,197,56,40,7,330,128,103,50,103,25,84,118,60,178,148,80,106,24,97,198,847,76,216,28,180,111,219,112,53,128,22
Male,Some Lessons,226,358,682,313,537,1096,368,878,387,219,311,536,65,195,478,319,406,328,350,105,338,260,466,320,307,129,456,339,301,3482,401,271,270,466,242,17,295,391,437,339,55,1659,311,325,228,325,80,384,340,239,488,417,282,277,191,366,561,2127,246,592,297,338,421,584,504,270,356,210
