ST04Q01,ST11Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,No,228.0,531.0,952.0,295.0,496.0,2471.0,313.0,1192.0,735.0,268.0,339.0,1352.0,135.0,544.0,198.0,400.0,593.0,429.0,654.0,206.0,333.0,277.0,241.0,286.0,466.0,160.0,825.0,246.0,1396.0,358.0,496.0,460.0,176.0,418.0,18.0,352.0,308.0,394.0,435.0,149.0,2812.0,153.0,222.0,450.0,233.0,199.0,541.0,433.0,363.0,1210.0,424.0,571.0,188.0,284.0,309.0,293.0,1162.0,213.0,778.0,853.0,398.0,273.0,819.0,885.0,425.0,494.0,377.0
Female,Yes,1848.0,2060.0,5558.0,1921.0,3550.0,6163.0,2012.0,8953.0,2530.0,2291.0,2674.0,2456.0,637.0,1623.0,2203.0,2192.0,2970.0,1781.0,3434.0,644.0,1870.0,1734.0,2226.0,1806.0,1951.0,1465.0,1780.0,2084.0,13277.0,2556.0,2822.0,2340.0,2027.0,1534.0,117.0,1766.0,2148.0,2131.0,2099.0,668.0,12309.0,2061.0,1834.0,1646.0,1908.0,579.0,2209.0,1926.0,2263.0,3697.0,1992.0,1779.0,2005.0,2355.0,1737.0,2298.0,10860.0,1986.0,4528.0,2459.0,1805.0,1960.0,4321.0,4801.0,1811.0,1922.0,2133.0
Male,No,246.0,531.0,851.0,284.0,474.0,2233.0,399.0,988.0,762.0,243.0,305.0,1232.0,115.0,447.0,186.0,401.0,496.0,410.0,580.0,182.0,276.0,219.0,228.0,297.0,386.0,164.0,733.0,232.0,1320.0,350.0,772.0,446.0,218.0,345.0,20.0,305.0,267.0,361.0,415.0,122.0,2652.0,175.0,240.0,381.0,199.0,195.0,455.0,419.0,311.0,1159.0,402.0,514.0,172.0,276.0,333.0,357.0,1113.0,168.0,634.0,786.0,411.0,355.0,803.0,843.0,416.0,406.0,372.0
Male,Yes,1791.0,1867.0,5962.0,1987.0,3588.0,5501.0,2006.0,8838.0,2326.0,2186.0,2547.0,2372.0,674.0,1489.0,2261.0,2147.0,3019.0,1780.0,3483.0,651.0,1812.0,1790.0,2215.0,2108.0,1765.0,1487.0,1744.0,2082.0,13890.0,2836.0,2108.0,2258.0,2316.0,1497.0,125.0,1824.0,2258.0,2282.0,1848.0,643.0,11259.0,2008.0,1965.0,1709.0,2039.0,612.0,2172.0,1767.0,2321.0,3709.0,1936.0,1801.0,1949.0,2384.0,1933.0,2708.0,10859.0,1991.0,4693.0,1760.0,1427.0,1975.0,4319.0,4967.0,1890.0,1730.0,1830.0
