ST04Q01,ST13Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,<ISCED level 1> ,39.0,490.0,249.0,34.0,114.0,2300.0,24.0,91.0,151.0,154.0,130.0,802.0,14.0,548.0,16.0,9.0,129.0,6.0,58.0,14.0,34.0,8.0,175.0,310.0,7.0,,977.0,81.0,28.0,331.0,,165.0,4.0,34.0,2.0,2.0,6.0,261.0,490.0,239.0,13.0,3377.0,24.0,81.0,26.0,10.0,,453.0,,673.0,276.0,85.0,,18.0,298.0,9.0,9.0,1024.0,30.0,151.0,1487.0,493.0,1172.0,309.0,26.0,88.0,706.0,580.0
Female,<ISCED level 2> ,739.0,548.0,1683.0,131.0,371.0,1955.0,248.0,612.0,584.0,851.0,476.0,983.0,59.0,400.0,339.0,70.0,639.0,241.0,332.0,75.0,349.0,975.0,316.0,494.0,386.0,350.0,551.0,460.0,146.0,4608.0,98.0,571.0,336.0,103.0,215.0,25.0,245.0,448.0,1003.0,563.0,55.0,5412.0,239.0,955.0,280.0,144.0,128.0,370.0,161.0,756.0,510.0,336.0,354.0,265.0,196.0,105.0,323.0,3128.0,218.0,1118.0,468.0,201.0,373.0,766.0,439.0,198.0,778.0,999.0
Female,<ISCED level 3A> ,1110.0,1469.0,3871.0,805.0,2585.0,3476.0,1191.0,9764.0,2431.0,1017.0,1115.0,2216.0,746.0,694.0,1534.0,1824.0,1710.0,1631.0,2032.0,819.0,1200.0,561.0,1649.0,369.0,1464.0,1041.0,852.0,1789.0,1862.0,7112.0,2468.0,2326.0,1720.0,1795.0,1170.0,20.0,1332.0,1041.0,462.0,1592.0,785.0,3898.0,644.0,936.0,795.0,1312.0,378.0,1484.0,1505.0,800.0,2726.0,1687.0,1334.0,415.0,2095.0,1534.0,525.0,5755.0,1538.0,1185.0,1066.0,819.0,364.0,3563.0,2516.0,2046.0,952.0,592.0
Female,"<ISCED level 3B, 3C> ",251.0,,708.0,1248.0,745.0,931.0,943.0,,,492.0,1316.0,,,206.0,536.0,724.0,1005.0,452.0,1712.0,,624.0,299.0,353.0,729.0,532.0,232.0,118.0,136.0,515.0,2580.0,342.0,273.0,843.0,329.0,631.0,88.0,552.0,426.0,375.0,86.0,,2175.0,1350.0,,763.0,634.0,331.0,,657.0,282.0,1059.0,373.0,850.0,1588.0,,532.0,1744.0,1919.0,400.0,2797.0,478.0,109.0,42.0,442.0,2832.0,,100.0,74.0
Female,She did not complete <ISCED level 1> ,232.0,206.0,40.0,22.0,78.0,1132.0,16.0,50.0,144.0,107.0,22.0,620.0,3.0,242.0,7.0,2.0,55.0,,97.0,14.0,31.0,54.0,13.0,135.0,8.0,,293.0,4.0,62.0,79.0,,147.0,4.0,8.0,2.0,,2.0,141.0,207.0,173.0,15.0,2111.0,3.0,34.0,15.0,18.0,,593.0,1.0,207.0,417.0,14.0,,6.0,102.0,5.0,3.0,285.0,27.0,90.0,181.0,538.0,315.0,423.0,23.0,50.0,106.0,381.0
Male,<ISCED level 1> ,45.0,402.0,198.0,25.0,85.0,1701.0,35.0,69.0,109.0,187.0,127.0,581.0,9.0,382.0,10.0,11.0,78.0,1.0,53.0,13.0,20.0,4.0,122.0,371.0,11.0,,807.0,64.0,21.0,338.0,,134.0,4.0,27.0,5.0,1.0,2.0,184.0,514.0,200.0,13.0,3092.0,17.0,59.0,23.0,12.0,,416.0,,592.0,202.0,83.0,5.0,13.0,280.0,8.0,5.0,923.0,17.0,135.0,1003.0,366.0,1042.0,210.0,32.0,74.0,545.0,495.0
Male,<ISCED level 2> ,677.0,444.0,1424.0,167.0,303.0,1827.0,271.0,418.0,541.0,826.0,400.0,947.0,33.0,419.0,319.0,76.0,577.0,193.0,221.0,64.0,258.0,966.0,329.0,464.0,315.0,279.0,543.0,356.0,98.0,4601.0,101.0,469.0,319.0,126.0,137.0,27.0,315.0,371.0,1018.0,515.0,40.0,5196.0,212.0,928.0,195.0,134.0,140.0,344.0,130.0,767.0,457.0,286.0,297.0,205.0,207.0,117.0,297.0,2995.0,168.0,1083.0,355.0,188.0,464.0,690.0,357.0,181.0,732.0,842.0
Male,<ISCED level 3A> ,1077.0,1456.0,4452.0,815.0,2658.0,3417.0,1187.0,9490.0,2347.0,1007.0,1270.0,2213.0,771.0,640.0,1641.0,1835.0,1857.0,1608.0,2259.0,811.0,1199.0,603.0,1668.0,572.0,1350.0,1126.0,903.0,1789.0,1639.0,7445.0,2658.0,2085.0,1832.0,2151.0,1161.0,26.0,1219.0,1095.0,448.0,1411.0,739.0,3913.0,837.0,1122.0,808.0,1434.0,449.0,1441.0,1484.0,824.0,2898.0,1640.0,1511.0,503.0,2096.0,1741.0,823.0,6038.0,1521.0,1348.0,907.0,689.0,408.0,3487.0,2467.0,2127.0,867.0,566.0
Male,"<ISCED level 3B, 3C> ",295.0,,612.0,1170.0,758.0,903.0,973.0,,,405.0,1044.0,,,203.0,495.0,655.0,785.0,455.0,1552.0,,510.0,209.0,319.0,804.0,485.0,227.0,118.0,152.0,271.0,2655.0,339.0,194.0,662.0,289.0,576.0,92.0,619.0,466.0,479.0,92.0,,1960.0,1158.0,,748.0,547.0,259.0,,505.0,299.0,1152.0,374.0,678.0,1505.0,,490.0,1921.0,1720.0,382.0,2623.0,396.0,87.0,66.0,477.0,2824.0,,78.0,73.0
Male,She did not complete <ISCED level 1> ,171.0,155.0,48.0,17.0,52.0,787.0,28.0,54.0,135.0,89.0,24.0,354.0,5.0,146.0,4.0,4.0,53.0,2.0,85.0,13.0,17.0,37.0,14.0,120.0,5.0,,271.0,6.0,38.0,97.0,,126.0,7.0,9.0,1.0,1.0,5.0,146.0,188.0,136.0,9.0,1556.0,4.0,45.0,13.0,21.0,,500.0,4.0,216.0,312.0,9.0,1.0,5.0,111.0,10.0,4.0,248.0,25.0,85.0,144.0,418.0,373.0,345.0,19.0,40.0,81.0,305.0
