ST04Q01,ST49Q05,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,146.0,62.0,74.0,17.0,37.0,358.0,70.0,132.0,72.0,200.0,29.0,128.0,4.0,75.0,14.0,17.0,26.0,19.0,18.0,13.0,21.0,16.0,116.0,20.0,36.0,21.0,77.0,26.0,142.0,382.0,30.0,414.0,215.0,116.0,25.0,,30.0,22.0,39.0,118.0,16.0,275.0,85.0,10.0,19.0,7.0,75.0,110.0,42.0,90.0,415.0,166.0,61.0,51.0,127.0,24.0,47.0,421.0,12.0,26.0,160.0,158.0,93.0,493.0,83.0,33.0,75.0,71.0
Female,Never or rarely,519.0,1260.0,3442.0,1208.0,1884.0,3382.0,948.0,5053.0,1397.0,578.0,1330.0,1641.0,410.0,848.0,1140.0,1258.0,1675.0,1006.0,2443.0,447.0,1143.0,977.0,796.0,859.0,933.0,766.0,543.0,1338.0,877.0,5272.0,1363.0,469.0,408.0,692.0,978.0,77.0,981.0,1183.0,1041.0,529.0,387.0,7614.0,722.0,1047.0,1082.0,1169.0,182.0,725.0,924.0,811.0,1061.0,788.0,853.0,761.0,536.0,1011.0,966.0,4536.0,1252.0,2890.0,1140.0,549.0,577.0,1049.0,2901.0,1107.0,1242.0,377.0
Female,Often,252.0,144.0,178.0,34.0,112.0,647.0,147.0,357.0,165.0,323.0,79.0,215.0,26.0,110.0,88.0,57.0,79.0,81.0,48.0,36.0,51.0,48.0,279.0,42.0,149.0,43.0,335.0,55.0,214.0,1111.0,78.0,646.0,537.0,263.0,69.0,2.0,60.0,74.0,87.0,316.0,32.0,593.0,164.0,37.0,42.0,32.0,106.0,230.0,92.0,210.0,789.0,273.0,190.0,160.0,292.0,53.0,134.0,832.0,52.0,97.0,335.0,235.0,194.0,781.0,199.0,93.0,102.0,400.0
Female,Sometimes,407.0,467.0,861.0,291.0,765.0,2027.0,448.0,1612.0,679.0,636.0,602.0,985.0,114.0,488.0,419.0,414.0,689.0,464.0,372.0,125.0,320.0,348.0,478.0,513.0,573.0,260.0,891.0,267.0,555.0,3313.0,514.0,835.0,753.0,504.0,379.0,18.0,407.0,381.0,529.0,863.0,132.0,2998.0,540.0,268.0,237.0,287.0,186.0,801.0,525.0,724.0,1081.0,450.0,638.0,556.0,866.0,370.0,577.0,2553.0,275.0,706.0,830.0,561.0,702.0,1411.0,964.0,373.0,399.0,929.0
Male,Always or almost always,139.0,110.0,109.0,23.0,52.0,456.0,130.0,171.0,82.0,146.0,42.0,132.0,14.0,80.0,41.0,20.0,34.0,21.0,36.0,23.0,35.0,30.0,123.0,30.0,46.0,35.0,90.0,21.0,100.0,361.0,45.0,562.0,232.0,174.0,36.0,2.0,42.0,56.0,33.0,121.0,17.0,460.0,123.0,30.0,30.0,19.0,82.0,137.0,40.0,70.0,665.0,184.0,99.0,59.0,128.0,26.0,91.0,330.0,32.0,63.0,164.0,178.0,111.0,645.0,72.0,39.0,77.0,70.0
Male,Never or rarely,511.0,958.0,3463.0,1146.0,1885.0,2667.0,911.0,4982.0,1304.0,648.0,1227.0,1394.0,383.0,759.0,1126.0,1266.0,1597.0,1007.0,2404.0,414.0,1060.0,1014.0,816.0,946.0,823.0,796.0,610.0,1283.0,686.0,5600.0,1495.0,423.0,442.0,725.0,896.0,80.0,1050.0,1186.0,1154.0,483.0,393.0,6263.0,769.0,1124.0,1018.0,1203.0,209.0,637.0,912.0,957.0,750.0,758.0,733.0,819.0,649.0,1038.0,1146.0,4995.0,1120.0,2826.0,722.0,409.0,636.0,998.0,2950.0,1094.0,1010.0,302.0
Male,Often,230.0,201.0,267.0,63.0,105.0,768.0,195.0,345.0,163.0,290.0,105.0,226.0,34.0,98.0,101.0,83.0,102.0,93.0,82.0,40.0,66.0,64.0,278.0,100.0,145.0,58.0,341.0,36.0,168.0,1159.0,81.0,545.0,526.0,373.0,115.0,3.0,98.0,101.0,107.0,287.0,24.0,901.0,183.0,53.0,77.0,57.0,105.0,243.0,116.0,213.0,849.0,279.0,224.0,155.0,313.0,82.0,186.0,741.0,57.0,132.0,391.0,257.0,219.0,811.0,213.0,99.0,128.0,405.0
Male,Sometimes,396.0,426.0,999.0,322.0,587.0,1649.0,472.0,1357.0,625.0,606.0,588.0,824.0,127.0,416.0,379.0,342.0,573.0,444.0,341.0,120.0,259.0,294.0,459.0,551.0,461.0,228.0,748.0,274.0,409.0,3275.0,548.0,550.0,696.0,503.0,367.0,12.0,352.0,382.0,545.0,639.0,94.0,3031.0,440.0,259.0,264.0,256.0,179.0,753.0,401.0,622.0,968.0,429.0,639.0,440.0,774.0,381.0,581.0,2142.0,265.0,637.0,657.0,418.0,636.0,1144.0,911.0,356.0,304.0,699.0
