ST04Q01,ST62Q13,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,215.0,138.0,514.0,230.0,301.0,966.0,201.0,951.0,377.0,156.0,239.0,521.0,75.0,149.0,219.0,134.0,307.0,128.0,190.0,74.0,128.0,209.0,146.0,160.0,211.0,153.0,333.0,83.0,159.0,1092.0,87.0,344.0,360.0,30.0,142.0,11.0,130.0,248.0,200.0,314.0,63.0,2342.0,277.0,197.0,159.0,106.0,386.0,318.0,254.0,553.0,221.0,278.0,271.0,209.0,128.0,200.0,698.0,61.0,489.0,474.0,204.0,246.0,485.0,453.0,171.0,170.0,168.0
Female,Heard of it often,291.0,103.0,244.0,145.0,220.0,510.0,160.0,506.0,191.0,104.0,119.0,378.0,32.0,108.0,94.0,40.0,170.0,65.0,69.0,45.0,65.0,124.0,79.0,87.0,127.0,82.0,297.0,59.0,73.0,594.0,22.0,378.0,402.0,9.0,94.0,14.0,60.0,171.0,122.0,284.0,40.0,1666.0,222.0,118.0,88.0,69.0,302.0,243.0,142.0,468.0,226.0,223.0,187.0,142.0,42.0,81.0,502.0,23.0,318.0,506.0,153.0,230.0,429.0,230.0,156.0,73.0,80.0
Female,Heard of it once or twice,175.0,264.0,811.0,340.0,466.0,1150.0,290.0,1324.0,431.0,218.0,314.0,560.0,89.0,235.0,333.0,287.0,454.0,204.0,365.0,110.0,185.0,342.0,246.0,168.0,306.0,171.0,405.0,222.0,214.0,1571.0,184.0,245.0,346.0,133.0,230.0,21.0,273.0,267.0,248.0,387.0,109.0,2500.0,313.0,271.0,256.0,113.0,393.0,331.0,295.0,525.0,260.0,329.0,354.0,256.0,253.0,342.0,998.0,175.0,693.0,527.0,208.0,217.0,496.0,715.0,310.0,242.0,211.0
Female,"Know it well,  understand the concept",482.0,73.0,93.0,136.0,189.0,221.0,219.0,278.0,56.0,157.0,46.0,90.0,27.0,97.0,63.0,30.0,136.0,34.0,22.0,37.0,55.0,126.0,80.0,63.0,51.0,69.0,92.0,29.0,94.0,450.0,23.0,413.0,316.0,4.0,90.0,11.0,64.0,199.0,83.0,147.0,23.0,671.0,114.0,61.0,29.0,55.0,126.0,185.0,59.0,887.0,222.0,247.0,106.0,79.0,32.0,49.0,468.0,7.0,260.0,156.0,183.0,99.0,318.0,87.0,80.0,30.0,45.0
Female,Never heard of it,219.0,1355.0,2889.0,670.0,1537.0,3262.0,777.0,4041.0,1236.0,1124.0,1380.0,1326.0,330.0,954.0,890.0,1264.0,1331.0,1144.0,2206.0,343.0,1060.0,575.0,1161.0,919.0,960.0,653.0,726.0,1275.0,1190.0,6285.0,1708.0,952.0,519.0,1361.0,883.0,34.0,989.0,815.0,1094.0,639.0,351.0,4217.0,580.0,706.0,867.0,234.0,633.0,525.0,1082.0,872.0,720.0,656.0,593.0,1133.0,969.0,1080.0,5519.0,1250.0,1827.0,810.0,696.0,739.0,1985.0,2606.0,899.0,1203.0,1210.0
Male,Heard of it a few times,219.0,202.0,718.0,248.0,352.0,950.0,270.0,1134.0,331.0,164.0,261.0,447.0,92.0,167.0,272.0,161.0,366.0,172.0,317.0,92.0,146.0,198.0,177.0,211.0,195.0,165.0,313.0,154.0,143.0,1394.0,129.0,362.0,351.0,77.0,181.0,17.0,201.0,234.0,253.0,358.0,88.0,2172.0,257.0,220.0,245.0,86.0,405.0,278.0,319.0,555.0,284.0,278.0,274.0,247.0,182.0,293.0,912.0,140.0,512.0,389.0,172.0,275.0,559.0,624.0,266.0,174.0,232.0
Male,Heard of it often,296.0,118.0,408.0,172.0,265.0,533.0,228.0,705.0,188.0,120.0,116.0,267.0,58.0,85.0,128.0,57.0,208.0,90.0,115.0,68.0,99.0,128.0,153.0,132.0,129.0,112.0,254.0,81.0,98.0,750.0,64.0,307.0,385.0,47.0,123.0,14.0,121.0,213.0,126.0,251.0,51.0,1561.0,214.0,143.0,104.0,85.0,264.0,224.0,230.0,459.0,253.0,249.0,216.0,169.0,93.0,179.0,573.0,64.0,381.0,392.0,129.0,255.0,442.0,307.0,146.0,92.0,89.0
Male,Heard of it once or twice,170.0,260.0,963.0,329.0,403.0,1078.0,352.0,1341.0,480.0,222.0,334.0,531.0,108.0,229.0,363.0,329.0,481.0,241.0,484.0,131.0,199.0,267.0,282.0,220.0,291.0,175.0,429.0,298.0,194.0,1807.0,225.0,338.0,375.0,240.0,258.0,24.0,301.0,273.0,260.0,364.0,101.0,2423.0,314.0,224.0,262.0,112.0,424.0,284.0,318.0,559.0,317.0,314.0,320.0,262.0,294.0,385.0,1134.0,234.0,687.0,444.0,210.0,286.0,627.0,843.0,315.0,247.0,222.0
Male,"Know it well,  understand the concept",460.0,101.0,164.0,183.0,279.0,259.0,196.0,481.0,89.0,232.0,70.0,118.0,40.0,83.0,116.0,53.0,170.0,61.0,67.0,52.0,72.0,164.0,127.0,94.0,94.0,107.0,78.0,55.0,115.0,607.0,38.0,413.0,263.0,16.0,108.0,12.0,103.0,278.0,127.0,126.0,33.0,682.0,174.0,110.0,56.0,108.0,150.0,251.0,87.0,664.0,218.0,312.0,132.0,107.0,76.0,111.0,604.0,48.0,403.0,168.0,142.0,158.0,409.0,164.0,118.0,55.0,44.0
Male,Never heard of it,237.0,1001.0,2442.0,600.0,1428.0,2617.0,604.0,3140.0,1036.0,922.0,1118.0,1195.0,241.0,721.0,791.0,1101.0,1109.0,982.0,1866.0,264.0,881.0,568.0,880.0,982.0,765.0,508.0,669.0,1011.0,836.0,5625.0,1670.0,635.0,462.0,1414.0,722.0,39.0,755.0,685.0,1000.0,494.0,251.0,3626.0,493.0,721.0,696.0,187.0,536.0,393.0,857.0,892.0,586.0,503.0,529.0,1043.0,932.0,1039.0,4928.0,1001.0,1723.0,498.0,539.0,632.0,1491.0,2152.0,732.0,904.0,945.0
