ST04Q01,ST14Q04,Albania,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Singapore,Slovak Republic,Slovenia,Spain,Switzerland,Thailand,Tunisia,United Arab Emirates,United Kingdom,United States of America,Vietnam
Female,No,1156.0,4647.0,1753.0,2614.0,6987.0,1116.0,6230.0,2505.0,1809.0,563.0,1006.0,1578.0,1989.0,2586.0,1170.0,3105.0,595.0,1015.0,1579.0,1712.0,1786.0,1140.0,1256.0,1677.0,10213.0,2085.0,783.0,108.0,1036.0,1553.0,2220.0,1183.0,569.0,754.0,1504.0,839.0,484.0,1737.0,2106.0,2269.0,3283.0,1335.0,1392.0,910.0,1652.0,1801.0,7520.0,4133.0,2731.0,1770.0,3128.0,3423.0,1651.0,2407.0
Female,Yes,675.0,1101.0,248.0,740.0,1487.0,879.0,2263.0,454.0,650.0,80.0,798.0,519.0,400.0,587.0,817.0,320.0,167.0,546.0,443.0,346.0,510.0,269.0,782.0,391.0,2585.0,508.0,950.0,19.0,851.0,406.0,245.0,1330.0,119.0,1027.0,306.0,910.0,191.0,820.0,218.0,194.0,704.0,977.0,543.0,1604.0,327.0,418.0,2550.0,745.0,445.0,294.0,1192.0,1369.0,342.0,145.0
Male,No,1099.0,4636.0,1630.0,2300.0,6067.0,1145.0,5822.0,2306.0,1735.0,506.0,864.0,1441.0,1826.0,2379.0,993.0,2805.0,560.0,1002.0,1562.0,1956.0,1483.0,1034.0,1227.0,1242.0,10369.0,2028.0,679.0,119.0,1046.0,1525.0,2297.0,1102.0,512.0,782.0,1455.0,745.0,423.0,1646.0,1900.0,2194.0,2951.0,1303.0,1269.0,875.0,1752.0,2069.0,7476.0,3799.0,2040.0,1474.0,2944.0,3141.0,1603.0,2070.0
Male,Yes,708.0,905.0,279.0,799.0,1371.0,954.0,1886.0,435.0,595.0,83.0,775.0,653.0,445.0,681.0,835.0,290.0,136.0,411.0,385.0,352.0,528.0,273.0,711.0,425.0,2791.0,492.0,887.0,15.0,764.0,405.0,234.0,1124.0,81.0,1001.0,291.0,925.0,235.0,783.0,223.0,188.0,878.0,917.0,499.0,1562.0,354.0,522.0,2429.0,840.0,338.0,236.0,1199.0,1484.0,282.0,154.0
