ST04Q01,EC04Q03A,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,3505.0,1726.0,375.0,5665.0,359.0,1237.0,289.0,2554.0,670.0,1193.0,1279.0,3451.0,469.0,1564.0,902.0,476.0,725.0,759.0,601.0,785.0,915.0,1610.0
Female,2,3351.0,603.0,3807.0,5132.0,2277.0,1240.0,3434.0,1781.0,1422.0,1319.0,1260.0,11749.0,1872.0,618.0,1670.0,2119.0,1391.0,2015.0,1713.0,1961.0,1284.0,1066.0
Male,1,3270.0,1594.0,511.0,5167.0,325.0,1086.0,411.0,2279.0,702.0,869.0,1086.0,3920.0,617.0,1318.0,974.0,428.0,650.0,821.0,582.0,838.0,841.0,1426.0
Male,2,3872.0,767.0,3616.0,5254.0,2213.0,1431.0,3194.0,2077.0,1677.0,1392.0,1364.0,11836.0,2072.0,785.0,1695.0,2296.0,1474.0,1948.0,1672.0,1944.0,1559.0,1750.0
