ST04Q01,EC03Q08,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",4790.0,1511.0,3451.0,8325.0,1818.0,1720.0,1518.0,961.0,1659.0,1720.0,2097.0,10021.0,1813.0,1563.0,1942.0,2334.0,1725.0,1826.0,1991.0,1709.0,919.0,655.0
Female,Yes,1857.0,746.0,620.0,2294.0,803.0,717.0,1990.0,3225.0,415.0,728.0,384.0,4861.0,521.0,611.0,510.0,214.0,356.0,927.0,251.0,981.0,1219.0,1926.0
Male,"No, never",4941.0,1555.0,3232.0,7899.0,1818.0,1636.0,1479.0,1403.0,2009.0,1495.0,1921.0,9299.0,2161.0,1429.0,1900.0,2404.0,1680.0,1657.0,1710.0,1658.0,1021.0,984.0
Male,Yes,1893.0,701.0,729.0,2271.0,700.0,807.0,1897.0,2720.0,353.0,704.0,407.0,5918.0,515.0,652.0,632.0,263.0,374.0,1068.0,460.0,1057.0,1297.0,1988.0
