ST04Q01,ST79Q07,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,299,353,163,69,109,1370,222,871,419,146,115,1025,123,368,43,41,137,19,94,141,59,73,86,35,48,56,340,68,138,402,123,488,403,36,64,16,68,85,94,445,150,2896,126,98,112,61,53,498,50,227,1148,281,193,76,156,49,37,444,112,344,491,257,115,1166,201,345,279,185
Female,Most Lessons,269,358,510,243,211,1565,227,1545,501,202,226,881,163,332,94,124,538,91,247,176,161,285,139,141,99,124,808,141,176,771,105,595,497,127,169,23,153,167,253,485,159,2797,144,197,167,213,85,513,174,370,904,291,272,120,256,110,121,780,312,848,698,276,160,946,445,434,409,314
Female,Never or Hardly Ever,227,593,2551,748,1665,1579,657,2176,632,771,1157,234,76,424,1134,1094,771,1001,1811,120,988,474,1115,784,1058,511,115,1051,1032,6472,1460,603,314,888,533,27,801,924,631,334,100,2020,927,675,668,621,178,287,756,654,555,670,578,993,744,899,1313,5164,456,1163,324,643,829,667,2195,302,435,426
Female,Some Lessons,512,663,1381,478,750,1934,552,2515,724,641,555,856,180,435,389,481,989,506,698,197,370,566,370,439,443,441,604,422,417,2395,276,697,719,512,696,20,506,494,753,511,172,3796,369,385,440,595,246,682,568,585,801,487,644,365,671,382,286,1974,640,1340,995,359,449,1002,1278,502,656,826
Male,Every Lesson,304,368,307,113,157,1346,281,967,377,217,131,867,121,329,104,70,222,54,156,125,96,117,168,81,78,115,334,68,150,650,149,613,451,61,97,19,143,143,149,381,146,2869,209,106,123,102,85,490,116,300,1209,338,321,166,211,114,168,668,238,480,465,268,237,954,213,333,290,213
Male,Most Lessons,297,376,693,248,256,1534,346,1655,515,279,221,884,171,301,151,137,584,130,404,195,141,272,207,189,123,203,717,146,155,1112,188,489,503,239,233,24,276,263,292,493,161,2994,208,262,257,252,119,499,239,443,798,283,321,196,345,190,283,1019,352,846,585,253,269,862,508,495,383,349
Male,Never or Hardly Ever,265,462,2253,684,1601,1068,536,1912,542,597,1073,213,74,316,952,981,610,802,1455,99,805,410,857,831,819,406,137,1080,770,6063,1521,543,284,878,452,26,596,853,617,268,79,1557,752,671,589,491,158,221,586,565,528,519,464,769,669,862,1164,4488,353,1071,151,435,683,825,2062,286,317,272
Male,Some Lessons,500,599,1448,515,682,1727,547,2323,778,598,530,753,175,349,449,511,950,559,826,204,393,549,436,519,497,419,642,345,346,2571,342,438,649,614,571,35,535,499,745,498,157,3237,335,408,429,670,225,613,533,537,730,477,654,358,606,428,416,2084,573,1284,668,326,434,1006,1366,563,579,708
