ST04Q01,ST46Q08,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,626,878,1675,593,1254,3186,936,2962,1008,1053,990,1623,238,627,738,561,1124,812,1302,264,729,562,554,863,573,539,1108,705,728,5432,836,1021,915,620,537,33,683,639,884,978,256,5547,781,805,461,670,362,974,1008,943,1579,823,1032,851,978,695,726,4343,604,1478,1437,595,707,1778,1707,671,867,949
Female,Disagree,278,559,2086,518,1047,1277,246,2698,698,208,653,438,207,221,590,960,904,489,1078,215,519,510,772,345,866,252,281,685,538,2214,738,282,539,695,739,46,149,579,517,399,185,2611,284,321,683,495,111,496,249,490,593,457,348,272,440,502,614,1847,710,1510,470,434,316,674,1640,574,464,622
Female,Strongly agree,377,410,507,315,367,1841,399,1110,532,460,291,918,89,622,256,120,307,235,327,113,212,217,207,188,139,276,444,233,432,2118,284,1003,384,123,126,12,607,316,260,434,107,3023,384,160,120,251,88,406,286,338,1066,335,329,344,372,180,291,1866,159,473,504,347,469,1222,585,283,425,192
Female,Strongly disagree,50,103,287,109,116,149,43,355,90,19,108,43,19,35,76,104,104,36,154,31,81,93,135,40,114,27,27,58,91,313,128,60,82,138,43,3,39,122,35,22,17,302,63,63,104,56,6,33,41,53,123,73,33,60,32,78,94,293,109,251,54,131,75,85,200,82,64,17
Male,Agree,606,738,1906,561,1076,2701,908,2715,980,913,850,1310,251,610,594,585,992,756,1242,296,596,542,587,849,498,508,1076,638,585,5169,914,811,852,785,514,36,700,668,896,797,222,5130,718,794,501,722,338,897,853,923,1409,766,996,768,917,680,831,4013,614,1446,1065,481,716,1648,1686,724,734,785
Male,Disagree,266,513,2029,542,1021,1278,296,2581,645,363,656,499,175,278,599,815,839,530,1078,159,506,491,638,425,693,275,301,659,392,2753,743,279,612,678,667,35,259,561,585,366,180,2653,351,430,643,478,152,532,321,604,585,466,375,290,497,520,688,2149,554,1386,505,372,365,679,1693,516,413,520
Male,Strongly agree,381,329,557,310,333,1387,412,1035,463,383,288,734,100,406,303,111,331,211,315,111,201,230,295,272,155,280,386,222,297,1787,329,876,364,174,147,18,480,301,247,319,96,2523,360,170,142,240,87,344,210,238,1102,326,299,321,365,152,313,1489,179,512,302,309,450,1150,520,256,302,142
Male,Strongly disagree,32,144,350,135,194,200,97,520,100,38,169,73,27,52,155,195,134,69,203,32,123,133,169,82,121,49,35,95,95,680,184,127,77,139,83,9,101,199,114,62,35,346,100,63,100,80,20,42,85,88,194,94,34,89,85,176,174,551,127,308,63,114,86,147,256,94,87,38
