ST04Q01,ST14Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay
Female,No,1612.0,1831.0,4618.0,1625.0,2279.0,7965.0,1540.0,4791.0,2437.0,1938.0,1903.0,2723.0,499.0,1298.0,1616.0,2172.0,1748.0,1410.0,2308.0,533.0,1374.0,1285.0,1654.0,1912.0,2071.0,1199.0,2162.0,1498.0,1626.0,11975.0,,2352.0,1288.0,1744.0,1060.0,92.0,1227.0,1540.0,2231.0,1950.0,515.0,12261.0,1302.0,1009.0,1395.0,863.0,238.0,2148.0,2324.0,2295.0,3049.0,1563.0,812.0,1408.0,1970.0,1709.0,1773.0,8403.0,1222.0,3692.0,1868.0,1937.0,3447.0,3130.0,1487.0,1750.0
Female,Yes,87.0,594.0,1145.0,429.0,1156.0,370.0,296.0,4232.0,551.0,520.0,1059.0,1201.0,161.0,383.0,448.0,199.0,1635.0,537.0,1259.0,256.0,619.0,253.0,346.0,142.0,209.0,211.0,118.0,550.0,523.0,999.0,788.0,805.0,1465.0,172.0,628.0,33.0,658.0,445.0,241.0,355.0,208.0,2683.0,594.0,733.0,441.0,1012.0,521.0,208.0,,167.0,1064.0,676.0,1406.0,649.0,465.0,262.0,491.0,1720.0,708.0,1250.0,188.0,141.0,862.0,1885.0,577.0,383.0
Male,No,1585.0,1582.0,4550.0,1568.0,1975.0,6926.0,1571.0,4521.0,2290.0,1860.0,1788.0,2393.0,452.0,1131.0,1546.0,2001.0,1589.0,1230.0,2151.0,485.0,1183.0,1191.0,1567.0,2146.0,1777.0,1060.0,2025.0,1399.0,1301.0,11920.0,,1956.0,1336.0,1925.0,915.0,100.0,1188.0,1406.0,2291.0,1676.0,449.0,11318.0,1240.0,945.0,1365.0,817.0,252.0,2041.0,2123.0,2214.0,2606.0,1514.0,755.0,1266.0,1790.0,1792.0,2038.0,8228.0,1088.0,3359.0,1524.0,1992.0,3124.0,3056.0,1409.0,1482.0
Male,Yes,97.0,502.0,1061.0,370.0,1253.0,390.0,362.0,3712.0,483.0,494.0,941.0,1104.0,160.0,431.0,508.0,277.0,1651.0,567.0,1106.0,254.0,556.0,228.0,377.0,155.0,203.0,249.0,157.0,547.0,393.0,1363.0,676.0,797.0,1297.0,157.0,636.0,35.0,623.0,545.0,242.0,430.0,173.0,2432.0,631.0,826.0,391.0,1032.0,503.0,200.0,,174.0,1326.0,662.0,1299.0,694.0,541.0,311.0,603.0,1751.0,661.0,1404.0,174.0,179.0,1028.0,1746.0,583.0,357.0
