ST04Q01,ST20Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Country of test,2181,2732,4763,1860,3303,9565,2443,8159,3353,2575,3030,4532,642,2137,1978,2414,2545,2001,3376,640,1824,1619,2204,1219,2396,1548,2814,2008,1996,13526,2912,2879,2353,2318,1795,59,2125,1184,735,2616,616,16500,2043,1773,1405,1908,751,2982,2330,2411,2427,2521,2116,1917,2052,2112,2295,10840,1807,3613,3635,2334,2300,2467,5256,1777,2653,2628
Female,Other country,10,281,1738,460,881,181,52,2427,74,34,40,82,180,240,478,229,1159,326,929,286,489,357,312,877,92,129,14,470,677,1375,26,645,495,1,307,78,112,1346,1830,85,258,477,264,333,675,325,81,58,24,363,2737,20,390,361,669,75,352,1580,527,1870,41,29,35,3210,861,605,79,6
Male,Country of test,2148,2502,4874,1881,3211,8436,2537,7728,3180,2462,2825,4032,643,1881,1998,2411,2572,1917,3460,634,1689,1626,2176,1446,2167,1561,2711,1974,1592,13871,3187,2581,2243,2664,1747,89,2130,1195,786,2324,609,15372,2028,1911,1338,1991,741,2813,2158,2405,2296,2455,1999,1901,2099,2293,2725,10827,1809,3638,2766,1943,2369,2319,5302,1789,2344,2286
Male,Other country,8,204,1869,476,971,143,47,2431,77,25,34,65,179,210,479,197,1025,339,869,274,455,339,293,945,71,106,11,430,519,1449,17,573,534,1,288,65,134,1402,1901,81,195,334,249,343,741,333,118,20,11,342,2885,13,488,298,629,80,398,1486,474,1867,34,30,39,3124,842,619,54,5
