ST04Q01,ST96Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,definitely do this,749,702,1707,645,1087,3124,946,2886,1300,1029,942,1269,216,762,846,834,1110,719,1248,302,828,597,964,702,603,501,909,713,1011,4648,677,1440,967,369,666,41,770,676,770,865,245,5393,780,335,480,668,286,856,851,910,1690,815,963,960,927,565,812,3068,602,1568,928,827,1023,2264,1505,727,700,383
Female,definitely not do this,23,115,97,59,111,145,23,145,30,16,24,67,12,47,27,23,42,18,39,10,26,27,34,17,18,33,26,46,25,169,94,33,49,56,29,1,27,54,13,18,5,370,40,58,40,41,7,35,19,29,76,75,30,28,20,47,18,206,40,94,30,42,19,44,100,31,64,64
Female,probably do this,433,860,2240,637,1223,2696,579,3410,816,611,963,1346,270,589,691,788,1149,756,1325,259,556,624,567,620,924,458,807,759,617,4530,956,754,780,910,651,43,582,740,801,793,256,4756,598,757,667,655,235,813,662,768,1285,649,653,494,807,684,787,4098,761,1624,1302,484,481,1219,2023,708,857,1097
Female,probably not do this,113,245,503,208,370,398,66,713,163,84,112,187,48,119,98,97,163,76,256,46,116,141,99,92,143,95,100,162,119,695,256,132,112,232,103,10,95,187,109,140,55,954,90,236,186,128,41,119,50,141,273,144,93,51,71,162,108,924,171,428,199,127,50,179,498,119,165,228
Male,definitely do this,730,572,2016,784,1216,2489,906,3137,1171,1063,972,1039,256,671,820,880,1106,713,1360,305,854,748,890,848,633,546,697,771,777,4784,979,1036,882,556,611,46,714,825,745,599,253,4565,739,476,535,726,301,739,791,866,1520,695,870,836,1001,689,868,3141,639,1804,557,683,926,1935,1673,747,660,321
Male,definitely not do this,25,155,117,48,101,181,43,171,41,23,45,76,10,50,40,39,57,24,63,10,43,29,64,24,30,54,41,34,34,240,77,74,58,38,49,1,65,63,43,44,5,367,63,44,45,53,11,48,39,46,105,79,34,49,31,55,51,282,34,99,23,32,23,79,94,22,51,46
Male,probably do this,442,720,2212,593,1048,2385,646,2995,824,532,806,1175,237,534,691,689,1033,715,1225,242,449,542,608,651,692,431,910,696,484,4566,885,825,770,960,633,37,629,693,910,705,233,4560,589,745,645,641,237,804,561,803,1314,690,651,484,756,650,911,3944,639,1443,1038,402,559,1306,2010,681,658,906
Male,probably not do this,75,241,453,135,255,432,113,563,137,79,141,218,51,99,92,95,102,110,190,30,73,78,117,99,112,79,138,102,78,733,223,156,178,219,121,13,125,141,139,181,30,1110,120,203,160,108,48,141,83,144,284,190,127,94,75,151,173,811,143,305,313,138,98,247,362,123,145,204
