ST04Q01,ST62Q16,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,133.0,191.0,297.0,88.0,104.0,760.0,248.0,437.0,298.0,34.0,359.0,282.0,41.0,175.0,320.0,212.0,269.0,88.0,225.0,66.0,51.0,104.0,86.0,184.0,306.0,47.0,274.0,112.0,109.0,1010.0,222.0,56.0,97.0,213.0,61.0,2.0,163.0,110.0,141.0,247.0,57.0,1777.0,225.0,88.0,95.0,13.0,183.0,275.0,178.0,301.0,145.0,54.0,270.0,72.0,143.0,208.0,660.0,57.0,228.0,285.0,100.0,121.0,165.0,245.0,146.0,187.0,75.0
Female,Heard of it often,329.0,242.0,472.0,140.0,283.0,1349.0,252.0,871.0,266.0,146.0,308.0,724.0,84.0,199.0,191.0,301.0,405.0,204.0,587.0,72.0,230.0,118.0,340.0,138.0,254.0,25.0,431.0,213.0,158.0,1035.0,188.0,298.0,385.0,357.0,267.0,4.0,139.0,99.0,293.0,183.0,72.0,3050.0,273.0,213.0,190.0,113.0,403.0,201.0,373.0,333.0,381.0,271.0,315.0,355.0,335.0,216.0,1293.0,25.0,211.0,349.0,91.0,482.0,450.0,423.0,202.0,389.0,657.0
Female,Heard of it once or twice,103.0,215.0,343.0,144.0,77.0,664.0,295.0,477.0,291.0,25.0,293.0,231.0,43.0,144.0,286.0,148.0,191.0,50.0,130.0,51.0,32.0,120.0,47.0,153.0,330.0,62.0,275.0,124.0,99.0,1184.0,289.0,89.0,42.0,68.0,38.0,6.0,280.0,150.0,111.0,289.0,52.0,1259.0,263.0,47.0,124.0,7.0,201.0,420.0,108.0,322.0,102.0,24.0,265.0,42.0,51.0,204.0,571.0,97.0,320.0,414.0,125.0,73.0,179.0,302.0,125.0,95.0,42.0
Female,"Know it well,  understand the concept",752.0,560.0,1680.0,495.0,1610.0,1622.0,453.0,3248.0,250.0,1446.0,271.0,1168.0,156.0,439.0,303.0,806.0,898.0,1063.0,1332.0,123.0,1123.0,644.0,1197.0,201.0,291.0,68.0,232.0,478.0,899.0,1413.0,193.0,1815.0,1387.0,758.0,984.0,26.0,235.0,457.0,840.0,137.0,121.0,3885.0,266.0,521.0,350.0,432.0,661.0,87.0,745.0,952.0,923.0,1353.0,367.0,1232.0,812.0,354.0,3772.0,17.0,582.0,211.0,104.0,635.0,2254.0,1388.0,445.0,748.0,915.0
Female,Never heard of it,78.0,715.0,1766.0,651.0,634.0,1709.0,404.0,2048.0,1186.0,110.0,866.0,466.0,230.0,580.0,502.0,292.0,622.0,176.0,581.0,291.0,61.0,388.0,54.0,719.0,472.0,928.0,646.0,748.0,466.0,5364.0,1126.0,84.0,42.0,141.0,87.0,52.0,708.0,892.0,362.0,915.0,284.0,1444.0,479.0,477.0,643.0,8.0,376.0,622.0,433.0,1386.0,98.0,43.0,297.0,121.0,93.0,760.0,1923.0,1317.0,2255.0,1199.0,1044.0,230.0,682.0,1731.0,692.0,302.0,37.0
Male,Heard of it a few times,137.0,207.0,451.0,124.0,154.0,817.0,266.0,704.0,296.0,65.0,355.0,304.0,55.0,157.0,337.0,214.0,253.0,131.0,283.0,88.0,77.0,126.0,152.0,206.0,264.0,94.0,265.0,147.0,126.0,1308.0,278.0,199.0,149.0,238.0,102.0,5.0,239.0,145.0,180.0,264.0,69.0,1781.0,228.0,114.0,134.0,28.0,246.0,261.0,267.0,422.0,205.0,97.0,247.0,103.0,215.0,269.0,844.0,128.0,328.0,257.0,127.0,176.0,268.0,330.0,211.0,173.0,128.0
Male,Heard of it often,329.0,239.0,584.0,164.0,323.0,1064.0,284.0,1003.0,291.0,173.0,319.0,615.0,88.0,167.0,242.0,267.0,423.0,252.0,584.0,94.0,241.0,136.0,321.0,178.0,205.0,59.0,386.0,232.0,153.0,1524.0,293.0,310.0,421.0,364.0,266.0,9.0,143.0,136.0,278.0,173.0,64.0,2697.0,259.0,205.0,167.0,123.0,367.0,162.0,380.0,387.0,429.0,338.0,312.0,352.0,374.0,310.0,1240.0,61.0,281.0,232.0,90.0,435.0,480.0,545.0,213.0,327.0,524.0
Male,Heard of it once or twice,97.0,202.0,470.0,122.0,132.0,681.0,304.0,527.0,301.0,42.0,273.0,229.0,69.0,128.0,255.0,157.0,227.0,85.0,201.0,60.0,48.0,114.0,103.0,205.0,289.0,113.0,286.0,150.0,85.0,1228.0,301.0,241.0,111.0,104.0,82.0,9.0,269.0,175.0,133.0,318.0,60.0,1389.0,264.0,84.0,142.0,17.0,244.0,329.0,153.0,438.0,164.0,40.0,184.0,67.0,84.0,250.0,638.0,176.0,409.0,369.0,152.0,138.0,321.0,379.0,168.0,103.0,38.0
Male,"Know it well,  understand the concept",730.0,427.0,1648.0,640.0,1578.0,1240.0,381.0,2693.0,287.0,1259.0,335.0,962.0,156.0,363.0,409.0,736.0,822.0,837.0,1123.0,109.0,949.0,533.0,941.0,348.0,267.0,90.0,163.0,414.0,719.0,2222.0,288.0,1063.0,1086.0,898.0,801.0,33.0,178.0,536.0,740.0,124.0,112.0,2983.0,306.0,544.0,382.0,396.0,539.0,115.0,600.0,940.0,736.0,1132.0,502.0,1117.0,779.0,506.0,3470.0,69.0,693.0,149.0,116.0,602.0,1702.0,1339.0,355.0,594.0,772.0
Male,Never heard of it,92.0,597.0,1542.0,480.0,546.0,1618.0,419.0,1865.0,947.0,128.0,621.0,456.0,171.0,474.0,432.0,328.0,612.0,247.0,651.0,255.0,83.0,423.0,103.0,701.0,452.0,716.0,638.0,663.0,308.0,3900.0,964.0,249.0,82.0,186.0,147.0,50.0,645.0,703.0,441.0,708.0,224.0,1615.0,404.0,475.0,540.0,15.0,367.0,565.0,408.0,948.0,124.0,59.0,228.0,200.0,116.0,674.0,1986.0,1054.0,2003.0,873.0,699.0,254.0,769.0,1500.0,635.0,280.0,72.0
