ST04Q01,ST80Q06,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,133,389,652,186,248,936,461,1334,392,232,135,459,118,235,164,552,174,101,285,123,202,148,314,60,153,99,137,261,286,1059,103,602,132,24,118,3,243,178,145,218,116,1727,268,140,244,106,35,315,254,357,776,292,134,138,283,150,203,1019,82,499,296,309,122,561,759,309,291,41
Female,Never or rarely,356,389,590,303,562,2197,263,676,456,209,848,806,53,513,196,75,361,279,272,87,135,218,148,309,307,173,475,288,375,2227,616,329,773,950,146,15,72,308,374,619,50,2907,153,215,155,256,82,490,118,100,555,352,336,373,212,171,202,1791,376,329,535,154,743,979,501,203,398,943
Female,Often,315,471,1551,453,839,1155,457,2657,673,495,329,674,169,309,511,654,743,475,981,214,636,422,679,235,494,343,432,534,495,2974,306,824,296,91,469,35,659,536,401,359,206,2609,551,393,451,439,149,441,668,791,991,474,391,396,649,417,579,2214,335,1402,591,542,175,975,1514,536,479,175
Female,Sometimes,490,681,1797,589,1070,2096,477,2416,746,823,736,989,194,492,777,460,1143,764,1311,206,594,608,564,793,684,511,811,592,600,3750,937,628,726,494,724,33,542,630,811,563,206,4236,565,613,535,684,297,699,507,608,1052,614,820,637,683,700,764,3327,713,1453,1081,512,501,1240,1336,528,580,585
Male,Always or almost always,182,427,881,251,315,1028,492,1549,489,292,228,510,134,228,220,468,218,179,329,138,228,193,364,121,178,159,181,250,298,1482,182,663,222,64,178,22,280,273,222,234,124,2227,293,170,290,145,70,373,259,453,996,333,275,239,362,202,270,1329,165,637,275,307,201,880,770,355,322,89
Male,Never or rarely,374,274,434,232,439,1434,178,551,317,135,569,582,36,303,173,77,284,204,223,62,110,168,166,314,226,147,400,199,241,1891,520,319,541,773,101,4,86,256,284,491,46,1819,186,177,102,164,71,314,110,82,450,274,215,241,134,149,174,1299,234,287,341,155,491,593,379,159,281,686
Male,Often,302,551,1794,526,904,1399,577,2698,748,625,430,733,194,333,550,744,832,489,1089,219,607,453,652,361,526,373,521,614,432,3577,487,697,440,249,545,33,670,626,524,379,207,3016,524,500,538,527,201,502,625,846,1033,467,513,438,765,568,747,2688,451,1498,530,434,358,1139,1683,592,454,218
Male,Sometimes,492,540,1588,548,1011,1736,443,2015,657,644,719,841,165,425,705,405,1017,671,1189,187,470,522,479,823,581,455,714,568,436,3440,1011,411,679,702,521,45,508,587,770,520,162,3551,473,598,456,664,245,612,489,470,767,536,753,556,568,671,824,2904,651,1257,708,359,574,987,1310,558,491,544
