ST04Q01,ST62Q17,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,176.0,183.0,601.0,157.0,340.0,1094.0,133.0,940.0,394.0,119.0,239.0,571.0,61.0,201.0,199.0,189.0,378.0,146.0,235.0,63.0,208.0,137.0,235.0,206.0,272.0,138.0,216.0,210.0,182.0,898.0,59.0,55.0,127.0,124.0,77.0,7.0,211.0,200.0,224.0,214.0,62.0,2375.0,268.0,235.0,171.0,30.0,311.0,115.0,272.0,480.0,107.0,56.0,258.0,240.0,168.0,279.0,1240.0,128.0,397.0,314.0,163.0,130.0,274.0,517.0,189.0,239.0,307.0
Female,Heard of it often,278.0,135.0,455.0,110.0,315.0,1142.0,260.0,675.0,477.0,239.0,534.0,673.0,57.0,170.0,313.0,262.0,456.0,327.0,99.0,64.0,165.0,121.0,382.0,264.0,221.0,169.0,834.0,208.0,231.0,1640.0,334.0,289.0,462.0,144.0,261.0,5.0,270.0,93.0,285.0,155.0,55.0,2717.0,274.0,230.0,153.0,76.0,445.0,275.0,290.0,481.0,336.0,245.0,305.0,284.0,256.0,370.0,1384.0,59.0,315.0,893.0,344.0,452.0,586.0,430.0,190.0,120.0,378.0
Female,Heard of it once or twice,97.0,270.0,687.0,183.0,355.0,1005.0,109.0,1078.0,357.0,74.0,144.0,500.0,76.0,253.0,113.0,123.0,259.0,76.0,391.0,80.0,227.0,164.0,155.0,109.0,301.0,95.0,166.0,209.0,159.0,612.0,25.0,99.0,89.0,224.0,57.0,11.0,182.0,237.0,233.0,321.0,83.0,2137.0,254.0,199.0,226.0,11.0,310.0,43.0,286.0,467.0,117.0,32.0,195.0,184.0,109.0,155.0,1039.0,241.0,569.0,226.0,105.0,60.0,283.0,576.0,219.0,270.0,256.0
Female,"Know it well,  understand the concept",758.0,146.0,581.0,184.0,726.0,1037.0,1040.0,984.0,482.0,1224.0,994.0,504.0,124.0,183.0,844.0,1051.0,983.0,977.0,72.0,90.0,320.0,222.0,803.0,611.0,328.0,382.0,569.0,355.0,805.0,5763.0,1594.0,1833.0,1192.0,137.0,996.0,7.0,629.0,137.0,614.0,56.0,133.0,2089.0,352.0,298.0,115.0,450.0,482.0,1151.0,363.0,1319.0,1009.0,1390.0,588.0,477.0,758.0,668.0,2922.0,34.0,307.0,942.0,734.0,863.0,2066.0,727.0,320.0,96.0,418.0
Female,Never heard of it,82.0,1192.0,2229.0,893.0,973.0,1841.0,108.0,3394.0,586.0,106.0,187.0,617.0,240.0,735.0,137.0,140.0,309.0,53.0,2055.0,312.0,585.0,731.0,144.0,209.0,533.0,350.0,79.0,697.0,354.0,1102.0,14.0,74.0,79.0,908.0,46.0,61.0,233.0,1042.0,395.0,1024.0,255.0,2100.0,358.0,385.0,738.0,10.0,285.0,19.0,619.0,566.0,85.0,26.0,168.0,636.0,138.0,275.0,1616.0,1055.0,2015.0,95.0,144.0,45.0,527.0,1841.0,691.0,996.0,363.0
Male,Heard of it a few times,178.0,203.0,699.0,181.0,348.0,972.0,207.0,1025.0,365.0,128.0,282.0,547.0,89.0,211.0,274.0,211.0,418.0,171.0,344.0,81.0,202.0,174.0,232.0,211.0,243.0,158.0,290.0,218.0,156.0,1040.0,102.0,218.0,223.0,196.0,132.0,14.0,260.0,212.0,282.0,255.0,82.0,2270.0,253.0,236.0,198.0,35.0,331.0,178.0,363.0,477.0,212.0,108.0,256.0,225.0,235.0,353.0,1371.0,171.0,454.0,322.0,161.0,214.0,392.0,593.0,210.0,207.0,292.0
Male,Heard of it often,296.0,135.0,568.0,136.0,348.0,1006.0,322.0,762.0,421.0,198.0,449.0,523.0,66.0,133.0,320.0,275.0,456.0,296.0,148.0,68.0,176.0,109.0,345.0,257.0,207.0,159.0,684.0,242.0,170.0,1726.0,393.0,317.0,462.0,177.0,264.0,8.0,216.0,145.0,270.0,130.0,57.0,2359.0,266.0,247.0,133.0,105.0,427.0,273.0,259.0,437.0,386.0,297.0,290.0,239.0,294.0,384.0,1404.0,91.0,358.0,591.0,213.0,465.0,593.0,540.0,184.0,129.0,302.0
Male,Heard of it once or twice,114.0,286.0,770.0,224.0,357.0,991.0,166.0,1087.0,336.0,80.0,137.0,465.0,73.0,204.0,132.0,128.0,226.0,95.0,464.0,100.0,201.0,165.0,177.0,161.0,267.0,101.0,238.0,210.0,146.0,718.0,34.0,219.0,149.0,282.0,79.0,13.0,227.0,235.0,172.0,328.0,81.0,2063.0,251.0,179.0,248.0,27.0,318.0,76.0,276.0,566.0,167.0,56.0,176.0,227.0,149.0,253.0,940.0,243.0,606.0,273.0,146.0,126.0,441.0,613.0,252.0,273.0,234.0
Male,"Know it well,  understand the concept",728.0,134.0,713.0,261.0,792.0,864.0,782.0,1045.0,501.0,1121.0,844.0,434.0,137.0,162.0,757.0,942.0,963.0,895.0,147.0,100.0,300.0,233.0,695.0,747.0,304.0,336.0,440.0,357.0,636.0,5651.0,1556.0,1063.0,867.0,301.0,828.0,15.0,482.0,217.0,648.0,71.0,120.0,1771.0,309.0,384.0,167.0,397.0,426.0,874.0,350.0,1002.0,782.0,1150.0,543.0,440.0,701.0,679.0,2884.0,80.0,528.0,558.0,509.0,703.0,1476.0,780.0,276.0,113.0,403.0
Male,Never heard of it,76.0,921.0,1947.0,727.0,890.0,1615.0,179.0,2880.0,519.0,141.0,189.0,597.0,172.0,573.0,187.0,141.0,271.0,96.0,1751.0,258.0,522.0,652.0,167.0,268.0,459.0,316.0,101.0,576.0,280.0,1073.0,39.0,263.0,141.0,832.0,93.0,56.0,299.0,890.0,405.0,805.0,188.0,2017.0,374.0,377.0,621.0,17.0,266.0,34.0,558.0,671.0,104.0,55.0,205.0,698.0,194.0,344.0,1578.0,902.0,1780.0,142.0,181.0,102.0,649.0,1572.0,652.0,760.0,302.0
