ST04Q01,ST49Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,229,134,125,31,86,881,64,234,115,142,132,179,17,163,37,30,147,20,67,29,52,27,48,37,15,27,198,29,188,317,47,519,231,11,18,2,38,44,78,345,17,683,137,40,33,29,114,231,91,55,501,232,101,95,124,38,59,219,35,110,264,228,116,398,105,72,174,22
Female,Never or rarely,104,950,2315,674,1113,1201,642,3046,840,203,467,749,257,385,643,883,433,564,1201,293,679,508,947,251,721,507,99,916,386,4621,593,311,175,566,562,45,529,756,293,93,258,3225,400,650,656,683,97,214,412,741,764,422,402,512,297,640,653,4143,730,1428,100,248,435,802,2046,722,644,105
Female,Often,530,226,592,165,403,1635,205,966,390,542,416,436,73,263,239,131,667,167,247,85,206,167,166,297,163,108,723,154,466,1403,342,895,733,185,157,5,199,204,359,637,88,1950,368,181,187,116,153,397,364,251,975,417,409,253,495,106,283,884,190,548,915,420,274,1062,500,223,336,439
Female,Sometimes,468,646,1531,680,1199,2769,716,2915,975,851,1025,1636,207,715,741,705,1232,820,1366,216,599,685,507,850,793,452,839,588,755,3735,1004,645,786,813,710,44,713,660,967,753,207,5630,615,494,506,667,184,1038,718,793,1119,616,832,672,909,677,729,3101,632,1645,1187,618,744,1486,1494,598,675,1212
Male,Always or almost always,215,203,169,47,85,1014,193,274,146,147,109,226,21,151,62,48,137,30,100,26,61,48,114,77,33,45,188,27,140,526,74,784,267,31,61,5,87,89,97,259,19,927,192,44,56,65,120,222,95,68,905,234,175,117,171,57,155,343,61,154,231,318,157,698,122,59,166,38
Male,Never or rarely,95,785,2447,714,1188,1031,682,3209,767,289,555,699,279,379,701,834,520,644,1325,327,662,618,850,301,682,610,141,989,371,4986,655,264,239,663,624,37,609,789,335,114,287,2845,474,743,667,690,118,233,399,797,595,487,379,537,319,668,699,4300,615,1432,130,186,449,809,2218,786,575,102
Male,Often,556,259,629,172,361,1411,220,890,394,499,411,440,75,257,234,168,586,171,316,74,208,154,250,383,136,100,689,123,344,1385,384,639,680,236,167,8,208,216,406,499,54,2046,344,153,180,163,149,404,301,274,973,400,417,266,547,164,401,959,217,576,721,349,291,999,464,239,310,378
Male,Sometimes,422,471,1601,620,997,2148,627,2497,876,757,890,1233,186,567,652,660,1069,721,1126,172,496,584,470,867,623,362,785,476,512,3506,1057,423,724,846,565,47,633,637,1004,664,170,4848,518,527,488,617,190,928,678,725,805,534,729,558,826,645,758,2613,582,1512,857,418,713,1117,1350,514,484,962
