ST04Q01,EC04Q02C,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,671.0,349.0,1710.0,1328.0,2085.0,558.0,696.0,417.0,952.0,800.0,661.0,4859.0,331.0,330.0,769.0,1024.0,360.0,893.0,834.0,978.0,1091.0,576.0
Female,2,6171.0,1983.0,2470.0,9472.0,551.0,1919.0,3027.0,3920.0,1140.0,1712.0,1879.0,10336.0,2010.0,1853.0,1805.0,1572.0,1756.0,1887.0,1476.0,1768.0,1108.0,2096.0
Male,1,623.0,259.0,1498.0,991.0,1903.0,332.0,696.0,405.0,1141.0,523.0,520.0,3494.0,538.0,167.0,608.0,994.0,306.0,673.0,433.0,801.0,880.0,394.0
Male,2,6541.0,2102.0,2623.0,9432.0,635.0,2186.0,2909.0,3948.0,1238.0,1739.0,1931.0,12252.0,2151.0,1937.0,2060.0,1729.0,1819.0,2104.0,1817.0,1981.0,1519.0,2783.0
