ST04Q01,EC01Q01,Australia,Belgium,Canada,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never  ",5637.0,3817.0,9801.0,2183.0,3129.0,4002.0,2044.0,2227.0,2270.0,14231.0,2281.0,1879.0,2248.0,2446.0,1753.0,2611.0,2017.0,2480.0,1824.0,2308.0
Female,"Yes, once  ",829.0,221.0,697.0,213.0,356.0,188.0,27.0,165.0,188.0,652.0,49.0,236.0,172.0,71.0,266.0,134.0,183.0,155.0,236.0,215.0
Female,"Yes, twice or more  ",217.0,61.0,161.0,45.0,74.0,33.0,10.0,69.0,37.0,73.0,7.0,61.0,74.0,37.0,60.0,31.0,78.0,68.0,83.0,84.0
Male,"No, never  ",5749.0,3617.0,9276.0,2097.0,3045.0,3862.0,2312.0,1969.0,2132.0,14181.0,2570.0,1672.0,2268.0,2501.0,1731.0,2512.0,1748.0,2389.0,1902.0,2475.0
Male,"Yes, once  ",897.0,308.0,766.0,284.0,303.0,236.0,37.0,157.0,185.0,932.0,94.0,301.0,218.0,140.0,242.0,190.0,273.0,240.0,304.0,380.0
Male,"Yes, twice or more  ",252.0,59.0,167.0,65.0,60.0,57.0,15.0,72.0,30.0,140.0,14.0,109.0,65.0,30.0,65.0,44.0,178.0,87.0,94.0,141.0
