ST04Q01,ST86Q05,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,558,1097,2958,810,1770,3669,896,4167,1246,1022,1229,1442,348,823,1015,1160,1480,1078,1825,385,874,729,943,944,997,647,1017,1096,919,6329,1192,939,1036,1005,977,48,723,884,1037,956,357,6095,887,1013,886,879,337,1092,905,1185,1625,933,978,961,1171,930,1129,5083,939,1920,1622,616,736,1851,2529,947,976,1041
Female,Disagree,74,224,423,215,387,714,230,500,401,128,287,123,41,109,321,272,235,272,363,66,324,258,384,179,301,122,180,153,231,1351,290,310,123,271,179,8,138,229,344,237,34,990,224,155,127,253,92,212,411,243,560,216,248,175,155,259,291,1114,172,484,281,268,284,533,410,122,358,313
Female,Strongly agree,657,539,1149,441,443,1794,452,2313,504,571,464,1221,148,589,244,253,631,238,590,165,225,343,308,219,283,319,614,396,514,1998,397,958,748,213,286,27,638,466,246,521,172,4115,387,190,343,264,131,500,134,406,929,539,423,388,452,200,271,1857,341,1111,571,499,395,1171,1066,480,307,363
Female,Strongly disagree,27,65,79,66,109,176,71,118,101,37,75,30,5,51,76,56,53,30,58,12,114,62,75,54,66,25,48,36,70,351,86,178,19,72,17,1,21,85,107,30,14,291,59,26,23,68,5,51,101,48,227,46,35,25,47,50,64,236,47,145,40,114,137,155,103,22,93,36
Male,Agree,576,882,2838,730,1616,2885,789,3828,1086,931,1073,1350,299,603,903,1000,1346,944,1737,348,700,647,822,975,823,635,956,1012,698,5862,1241,685,963,1164,823,51,720,793,1041,847,306,5375,742,972,853,821,327,969,759,1070,1370,817,931,844,1039,950,1101,4269,800,1800,1143,436,710,1589,2458,981,821,891
Male,Disagree,67,228,562,238,424,635,260,587,433,127,264,145,34,106,292,307,285,279,394,57,330,251,326,196,287,158,153,196,213,1631,334,257,128,267,194,13,199,281,321,221,36,930,202,197,146,265,97,183,356,251,517,205,254,146,167,317,359,1425,214,594,208,242,313,482,473,148,260,195
Male,Strongly agree,688,584,1132,522,471,1819,548,2197,568,597,478,1053,193,541,365,288,605,258,564,184,225,360,380,345,328,296,650,371,425,2305,474,976,771,293,306,31,585,518,319,466,189,4026,484,231,336,307,147,546,209,475,1069,534,517,460,569,250,417,1909,411,984,485,412,442,1285,1057,466,359,428
Male,Strongly disagree,25,92,164,75,160,236,101,222,117,38,138,43,12,47,95,101,90,54,125,21,139,99,138,101,75,45,52,58,79,589,146,191,23,68,36,8,48,154,121,73,5,265,76,52,49,99,20,39,157,73,249,54,63,48,53,83,144,541,70,264,37,153,162,211,140,42,88,33
