ST04Q01,ST77Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,773,1152,1753,244,643,3799,675,2379,1228,737,330,1820,199,931,322,385,589,248,735,206,245,169,303,258,382,431,672,573,524,2681,291,1464,1019,205,269,20,306,329,365,736,212,7324,552,186,421,270,164,1076,266,873,1625,622,624,469,612,339,271,3091,465,708,1414,510,563,1891,1541,512,932,584
Female,Most Lessons,242,470,1538,455,949,1623,574,2584,637,696,744,810,199,376,498,615,905,552,1151,209,496,443,445,633,599,482,441,558,527,3543,950,566,565,774,491,27,512,468,707,541,211,2603,520,463,502,612,209,533,510,544,960,548,576,458,734,533,605,2769,604,1275,740,408,466,1113,1522,582,484,675
Female,Never or Hardly Ever,109,64,280,312,301,179,76,449,64,46,112,53,17,35,189,175,198,193,196,48,278,261,292,51,171,41,70,140,189,1079,150,117,50,72,162,7,155,333,63,53,25,236,129,221,94,145,24,35,190,74,182,134,93,165,40,111,267,484,91,513,16,160,102,153,224,81,70,65
Female,Some Lessons,175,305,1046,530,845,920,355,1691,352,282,869,361,130,221,651,559,753,625,771,171,561,527,673,456,499,180,668,410,529,2738,573,250,304,512,538,32,550,549,599,451,140,1377,366,489,377,469,169,369,584,355,676,425,398,459,448,457,613,2043,356,1201,341,451,414,644,849,413,325,431
Male,Every Lesson,785,1050,1794,307,640,3502,698,2357,1162,740,360,1681,194,799,408,473,677,290,783,210,320,276,355,377,379,488,701,541,435,3051,419,1315,958,274,290,30,385,431,475,686,202,6658,680,219,448,331,224,1070,323,886,1690,600,714,548,632,478,394,3040,563,951,1064,470,658,1864,1554,593,871,584
Male,Most Lessons,253,444,1662,553,984,1378,586,2476,645,665,747,692,204,320,532,599,910,568,1189,211,438,464,501,686,603,450,473,542,391,3629,1074,490,601,864,469,31,487,521,721,522,219,2652,435,510,518,586,173,484,461,573,910,534,542,463,773,557,666,2709,553,1257,527,310,463,994,1508,601,414,667
Male,Never or Hardly Ever,119,84,304,223,339,179,97,499,73,39,152,56,21,31,167,169,194,160,199,31,245,234,257,78,135,50,76,169,161,1074,206,137,39,108,147,20,133,342,113,54,29,236,123,218,101,161,31,34,191,85,244,99,113,142,51,132,298,706,97,470,26,157,93,225,263,83,77,30
Male,Some Lessons,183,257,949,477,740,692,347,1512,342,252,697,303,126,152,548,458,606,528,686,165,435,384,560,481,400,164,571,387,445,2661,506,193,305,547,446,22,552,465,497,381,96,1155,276,508,339,440,163,263,506,316,505,385,395,340,378,426,678,1812,315,1020,250,350,415,593,849,398,250,272
