ST04Q01,EC04Q05B,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,2380.0,1142.0,1682.0,4226.0,1384.0,1682.0,2146.0,1413.0,726.0,1270.0,787.0,7422.0,1160.0,1506.0,1114.0,1064.0,757.0,1347.0,978.0,1088.0,1036.0,1452.0
Female,2,4451.0,1189.0,2499.0,6575.0,1248.0,795.0,1577.0,2923.0,1366.0,1243.0,1753.0,7762.0,1181.0,675.0,1460.0,1533.0,1359.0,1435.0,1337.0,1658.0,1165.0,1223.0
Male,1,2394.0,1015.0,1420.0,3917.0,1130.0,1600.0,1813.0,1403.0,722.0,1094.0,841.0,6641.0,1113.0,1254.0,1185.0,1025.0,752.0,1331.0,1030.0,1099.0,1041.0,1611.0
Male,2,4721.0,1344.0,2702.0,6494.0,1407.0,915.0,1792.0,2954.0,1657.0,1167.0,1610.0,9098.0,1576.0,851.0,1481.0,1699.0,1374.0,1445.0,1225.0,1683.0,1360.0,1561.0
