ST04Q01,ST27Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,None,32,50,33,39,32,168,21,108,22,14,29,50,1,13,9,28,10,22,108,4,25,30,12,7,20,7,208,9,427,74,12,133,28,64,20,1,6,13,5,78,2,413,7,29,27,22,4,151,13,11,145,153,14,7,39,11,10,48,13,143,25,25,18,74,22,6,19,49
Female,One,591,567,665,394,955,3873,292,923,406,568,906,1279,39,759,454,610,280,561,739,34,506,317,291,989,344,284,1915,153,348,1628,766,1365,1263,1162,691,18,434,382,720,1409,56,5055,690,222,315,225,223,1240,607,232,966,508,681,426,678,547,650,1642,218,1937,1372,1369,1320,1169,371,130,450,1803
Female,Three or more,406,1287,4271,1087,1683,2214,1168,7011,2014,752,869,1528,649,844,849,896,2520,755,1834,760,968,1066,1132,248,1180,851,159,1781,1182,8525,1140,499,280,152,468,57,768,1335,682,303,652,5683,430,1311,1059,1149,246,684,662,1778,2830,856,756,825,774,600,832,6234,1365,1286,954,209,181,2823,4707,1833,1258,179
Female,Two,1169,1152,1931,824,1561,3600,1050,2676,1019,1299,1298,1866,144,782,1159,1132,915,1053,1650,144,843,693,1129,879,958,553,551,586,653,4919,1073,1572,1341,958,1001,60,1065,831,1186,938,175,6167,1209,554,700,851,387,970,1093,791,1306,1037,1137,1058,1253,1040,1180,4662,747,2174,1378,747,830,1660,1129,448,1051,612
Male,None,21,37,48,26,21,155,36,90,16,21,31,61,1,12,10,22,9,17,91,4,30,20,15,11,15,21,197,7,125,112,16,171,32,72,17,1,12,27,8,99,2,372,17,14,24,32,3,119,19,19,204,162,14,11,49,12,24,65,18,113,60,46,21,84,20,12,23,46
Male,One,557,468,469,305,640,2859,282,587,291,614,815,943,24,484,392,480,174,450,449,27,343,277,241,1113,261,176,1865,110,289,1322,670,1118,1201,1368,562,18,329,220,731,1227,37,4167,524,171,215,149,214,1118,453,210,843,467,550,341,624,515,683,1220,144,1389,1026,1049,1355,948,230,101,288,1512
Male,Three or more,406,1278,4901,1273,2096,2438,1284,7448,2139,759,896,1576,699,853,966,1034,2677,832,2269,756,1123,1189,1193,335,1103,1028,153,1810,1221,9657,1409,547,324,181,521,80,871,1683,764,304,661,5910,510,1580,1206,1356,270,724,713,1877,2877,912,829,870,865,754,1146,6961,1507,1883,739,194,211,3004,5085,1972,1231,193
Male,Two,1174,950,1762,766,1476,3257,1024,2200,839,1136,1177,1606,112,734,1140,1074,771,1041,1525,140,692,607,1069,994,866,483,505,513,520,4587,1161,1397,1293,1055,990,56,1098,714,1211,801,114,5557,1262,502,652,790,402,899,1019,703,1370,944,1181,1034,1235,1116,1311,4199,631,2185,1027,665,849,1555,934,382,871,549
