ST04Q01,ST62Q11,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,276.0,154.0,418.0,93.0,250.0,1208.0,185.0,854.0,450.0,171.0,276.0,614.0,59.0,179.0,171.0,191.0,288.0,141.0,99.0,82.0,124.0,70.0,179.0,246.0,174.0,60.0,368.0,96.0,271.0,855.0,178.0,362.0,363.0,69.0,202.0,5.0,114.0,210.0,190.0,295.0,61.0,2043.0,336.0,72.0,150.0,65.0,376.0,169.0,308.0,487.0,247.0,220.0,330.0,219.0,144.0,299.0,613.0,64.0,225.0,567.0,191.0,243.0,538.0,350.0,185.0,247.0,256.0
Female,Heard of it often,185.0,142.0,210.0,48.0,140.0,760.0,156.0,442.0,196.0,50.0,149.0,474.0,32.0,129.0,66.0,86.0,130.0,56.0,28.0,40.0,61.0,31.0,82.0,180.0,51.0,25.0,797.0,44.0,154.0,351.0,55.0,485.0,438.0,20.0,92.0,3.0,34.0,82.0,93.0,156.0,31.0,1397.0,312.0,29.0,54.0,30.0,311.0,119.0,182.0,300.0,254.0,117.0,272.0,124.0,54.0,137.0,271.0,30.0,85.0,578.0,174.0,197.0,516.0,142.0,129.0,101.0,90.0
Female,Heard of it once or twice,284.0,258.0,713.0,177.0,358.0,1255.0,277.0,1212.0,486.0,227.0,350.0,584.0,87.0,262.0,302.0,381.0,371.0,221.0,223.0,85.0,206.0,154.0,289.0,234.0,262.0,115.0,255.0,220.0,311.0,1357.0,317.0,279.0,290.0,277.0,277.0,10.0,205.0,223.0,251.0,339.0,105.0,2404.0,297.0,132.0,203.0,91.0,372.0,266.0,354.0,598.0,284.0,275.0,314.0,254.0,254.0,417.0,1100.0,168.0,415.0,550.0,205.0,265.0,536.0,618.0,277.0,317.0,289.0
Female,"Know it well,  understand the concept",119.0,161.0,76.0,27.0,134.0,298.0,155.0,177.0,54.0,28.0,87.0,155.0,19.0,75.0,33.0,38.0,67.0,37.0,18.0,18.0,44.0,19.0,72.0,184.0,29.0,17.0,358.0,21.0,131.0,169.0,53.0,581.0,339.0,10.0,77.0,2.0,31.0,73.0,53.0,64.0,18.0,498.0,176.0,8.0,17.0,13.0,120.0,50.0,66.0,337.0,219.0,90.0,140.0,51.0,38.0,50.0,212.0,11.0,59.0,157.0,221.0,56.0,404.0,59.0,59.0,52.0,40.0
Female,Never heard of it,507.0,1189.0,3129.0,1180.0,1834.0,2543.0,876.0,4368.0,1099.0,1282.0,1232.0,1047.0,352.0,877.0,1031.0,1049.0,1545.0,1122.0,2469.0,384.0,1055.0,1103.0,1089.0,552.0,1130.0,909.0,86.0,1293.0,853.0,7236.0,1422.0,613.0,509.0,1153.0,780.0,71.0,1120.0,1115.0,1155.0,914.0,374.0,5013.0,380.0,1107.0,979.0,377.0,644.0,988.0,912.0,1564.0,643.0,1034.0,453.0,1173.0,934.0,848.0,5984.0,1246.0,2816.0,617.0,670.0,772.0,1703.0,2902.0,957.0,989.0,1045.0
Male,Heard of it a few times,259.0,205.0,689.0,147.0,310.0,1074.0,276.0,1036.0,417.0,153.0,255.0,549.0,94.0,198.0,247.0,201.0,344.0,160.0,255.0,83.0,154.0,119.0,210.0,277.0,180.0,109.0,399.0,130.0,238.0,1243.0,216.0,390.0,363.0,124.0,232.0,9.0,182.0,231.0,219.0,295.0,75.0,2058.0,293.0,126.0,195.0,75.0,425.0,233.0,373.0,510.0,270.0,221.0,328.0,249.0,175.0,353.0,837.0,148.0,371.0,424.0,181.0,315.0,605.0,480.0,240.0,244.0,278.0
Male,Heard of it often,182.0,138.0,313.0,69.0,180.0,723.0,200.0,564.0,194.0,52.0,142.0,374.0,47.0,104.0,96.0,77.0,180.0,80.0,96.0,57.0,107.0,52.0,148.0,204.0,85.0,82.0,665.0,64.0,124.0,597.0,94.0,373.0,419.0,70.0,125.0,2.0,83.0,132.0,114.0,146.0,35.0,1269.0,277.0,51.0,85.0,34.0,272.0,120.0,241.0,367.0,281.0,154.0,254.0,151.0,89.0,201.0,468.0,68.0,191.0,458.0,171.0,203.0,501.0,256.0,150.0,114.0,94.0
Male,Heard of it once or twice,271.0,254.0,855.0,247.0,381.0,1179.0,335.0,1269.0,476.0,204.0,325.0,584.0,97.0,247.0,317.0,342.0,435.0,256.0,378.0,122.0,208.0,191.0,289.0,257.0,283.0,166.0,311.0,245.0,258.0,1677.0,356.0,338.0,334.0,349.0,284.0,17.0,275.0,236.0,224.0,343.0,110.0,2417.0,325.0,177.0,247.0,102.0,402.0,299.0,358.0,624.0,331.0,292.0,311.0,299.0,301.0,463.0,1298.0,241.0,485.0,433.0,182.0,313.0,601.0,753.0,294.0,308.0,285.0
Male,"Know it well,  understand the concept",133.0,177.0,126.0,61.0,218.0,339.0,174.0,352.0,97.0,56.0,88.0,144.0,38.0,88.0,75.0,50.0,126.0,72.0,44.0,39.0,53.0,60.0,115.0,232.0,46.0,66.0,267.0,40.0,173.0,350.0,63.0,499.0,276.0,16.0,106.0,5.0,68.0,145.0,82.0,75.0,32.0,520.0,206.0,39.0,39.0,34.0,110.0,106.0,95.0,397.0,206.0,106.0,192.0,92.0,74.0,119.0,365.0,54.0,128.0,180.0,188.0,114.0,430.0,119.0,71.0,72.0,42.0
Male,Never heard of it,523.0,881.0,2702.0,1012.0,1633.0,2118.0,672.0,3573.0,928.0,1203.0,1092.0,908.0,263.0,646.0,929.0,1030.0,1254.0,975.0,2063.0,303.0,867.0,913.0,856.0,669.0,884.0,643.0,112.0,1112.0,594.0,6303.0,1397.0,459.0,443.0,1232.0,643.0,73.0,856.0,943.0,1127.0,729.0,272.0,4166.0,356.0,1029.0,793.0,326.0,559.0,671.0,745.0,1218.0,563.0,877.0,378.0,1043.0,933.0,863.0,5168.0,974.0,2543.0,391.0,469.0,651.0,1399.0,2474.0,818.0,732.0,834.0
