ST04Q01,HOSTCUL,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Male,-2.6575,,1.0,,,,,,,,
Male,-2.8113,16.0,15.0,5.0,,12.0,5.0,13.0,10.0,15.0,6.0
Male,0.0438,,1.0,,,1.0,,,,,
Male,0.0735,1.0,,1.0,2.0,1.0,,,1.0,1.0,
Male,0.1456,,,,,,,,,,1.0
Male,0.185,1.0,5.0,,1.0,,,,1.0,1.0,
Male,0.2184,,,,,1.0,,,,,
Male,0.2655,63.0,62.0,73.0,36.0,134.0,4.0,31.0,67.0,76.0,38.0
Male,0.3107,,,,1.0,,,,,,
Male,0.3959,2.0,2.0,,1.0,,,,,,
Male,0.4232,1.0,,,,,,,,1.0,
Male,0.5284,1.0,2.0,,,1.0,,,1.0,2.0,
Male,0.5703,,,,,1.0,,,,1.0,
Male,0.6282,43.0,60.0,55.0,24.0,98.0,2.0,21.0,59.0,77.0,16.0
Male,0.7007,,1.0,,,,1.0,,,1.0,1.0
Male,0.9045,2.0,7.0,1.0,,1.0,,1.0,,3.0,
Male,0.9508,,,,,,,,,1.0,
Male,0.9977,,,,1.0,1.0,,,,,
Male,1.0034,,4.0,2.0,2.0,5.0,1.0,,,3.0,1.0
Male,1.0433,1.0,3.0,,1.0,5.0,,,1.0,,2.0
Male,1.1,1.0,,,,,,,,,
Male,1.1343,,,,,2.0,1.0,,1.0,1.0,
Male,1.1591,,,,,,,,,1.0,
Male,1.1921,185.0,198.0,229.0,56.0,440.0,20.0,96.0,445.0,524.0,108.0
