ST04Q01,EC03Q06,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",2430.0,569.0,2384.0,2378.0,876.0,1092.0,1386.0,1000.0,629.0,1233.0,891.0,6461.0,166.0,439.0,1146.0,966.0,650.0,627.0,1090.0,743.0,1049.0,828.0
Female,Yes,4212.0,1691.0,1691.0,8186.0,1746.0,1342.0,2137.0,3178.0,1449.0,1219.0,1584.0,8439.0,2168.0,1735.0,1308.0,1581.0,1428.0,2126.0,1152.0,1944.0,1087.0,1757.0
Male,"No, never",2888.0,769.0,2518.0,3321.0,985.0,1151.0,1230.0,1554.0,914.0,1202.0,912.0,7308.0,398.0,706.0,1281.0,1169.0,935.0,803.0,1234.0,923.0,1225.0,1185.0
Male,Yes,3952.0,1487.0,1451.0,6828.0,1534.0,1290.0,2157.0,2569.0,1453.0,998.0,1413.0,7942.0,2278.0,1379.0,1251.0,1496.0,1119.0,1925.0,939.0,1792.0,1095.0,1783.0
