ST04Q01,ST49Q07,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,177,97,59,18,28,271,62,118,73,23,10,123,12,57,44,49,23,13,73,15,25,21,138,7,37,16,41,39,113,360,19,455,147,13,11,2,94,33,23,172,16,319,48,10,26,14,87,74,11,33,616,166,73,87,44,49,35,221,18,57,114,300,97,553,63,32,72,16
Female,Never or rarely,539,1345,3800,1266,2314,4887,991,5702,1631,1316,1824,1715,470,1259,1170,1078,2171,1293,1645,489,1150,1160,848,1270,1114,894,1309,1199,1240,6661,1689,920,743,1222,1202,80,981,1229,1174,730,461,8260,1006,1282,1108,1302,199,1145,1374,1308,1114,809,890,787,1300,986,1320,5784,1337,2848,1039,435,1052,1456,3215,1313,1317,1187
Female,Often,265,148,168,59,105,414,159,307,194,77,35,303,15,54,117,133,74,49,303,33,77,54,284,19,152,37,150,116,163,1068,65,435,364,65,41,4,131,110,99,354,20,772,110,21,73,36,121,169,38,109,807,285,238,215,154,118,84,601,51,196,374,306,111,745,234,80,130,96
Female,Sometimes,344,347,530,209,352,824,401,1024,419,322,171,819,54,151,328,485,208,216,854,82,283,155,395,138,384,142,341,329,268,1976,213,548,661,274,196,11,273,285,400,570,68,2112,341,53,174,142,143,464,158,387,805,424,536,437,322,305,284,1724,183,627,939,465,301,975,625,182,297,478
Male,Always or almost always,149,246,240,128,132,572,279,488,220,77,43,258,39,99,182,187,89,83,178,33,96,108,316,50,155,74,78,87,215,916,54,784,341,63,91,8,181,161,84,234,40,848,211,49,93,69,118,209,79,163,861,259,219,278,145,173,208,649,95,238,216,403,202,836,204,84,189,36
Male,Never or rarely,512,788,3066,856,1586,3244,554,3919,1031,1044,1424,1039,351,847,689,579,1644,849,1175,364,740,728,529,1168,591,634,1002,1038,665,5084,1651,347,437,1088,699,51,604,906,1045,426,336,5777,615,1073,866,924,129,686,872,800,696,564,448,449,1019,568,774,3931,810,1967,561,224,724,960,2653,993,772,718
Male,Often,286,302,514,223,293,674,385,848,372,146,119,493,63,163,305,392,186,185,525,74,212,203,397,94,292,137,283,169,232,1712,149,549,554,171,221,15,283,249,171,402,45,1407,277,99,132,188,143,306,161,320,897,407,445,334,272,297,413,1320,189,543,509,336,262,917,430,172,217,198
Male,Sometimes,331,372,1012,350,618,1030,494,1611,556,422,378,782,106,244,470,552,388,448,981,124,369,361,437,314,432,272,426,319,252,2668,316,419,565,453,404,23,472,406,539,470,106,2595,410,244,299,351,185,562,357,579,779,420,580,411,429,493,615,2302,374,910,646,297,425,888,856,341,343,525
