ST04Q01,ST62Q07,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Heard of it a few times,121.0,233.0,822.0,186.0,324.0,1119.0,207.0,1319.0,335.0,54.0,483.0,381.0,81.0,168.0,197.0,213.0,342.0,312.0,246.0,108.0,82.0,209.0,188.0,211.0,188.0,51.0,325.0,174.0,113.0,1475.0,402.0,357.0,141.0,315.0,242.0,8.0,149.0,191.0,309.0,347.0,116.0,2544.0,186.0,134.0,263.0,36.0,241.0,328.0,215.0,494.0,204.0,91.0,143.0,186.0,131.0,326.0,1028.0,74.0,447.0,310.0,202.0,136.0,520.0,689.0,309.0,314.0,42.0
Female,Heard of it often,328.0,245.0,573.0,192.0,433.0,1125.0,363.0,1033.0,578.0,197.0,550.0,748.0,85.0,198.0,360.0,211.0,145.0,144.0,107.0,93.0,201.0,131.0,497.0,126.0,431.0,15.0,631.0,76.0,70.0,1593.0,313.0,362.0,458.0,119.0,159.0,9.0,64.0,170.0,263.0,374.0,82.0,2166.0,363.0,106.0,219.0,125.0,392.0,384.0,432.0,479.0,499.0,318.0,351.0,398.0,179.0,353.0,1472.0,34.0,373.0,815.0,221.0,581.0,599.0,639.0,228.0,435.0,485.0
Female,Heard of it once or twice,74.0,262.0,955.0,252.0,243.0,976.0,175.0,1245.0,196.0,24.0,278.0,261.0,112.0,148.0,80.0,287.0,432.0,345.0,435.0,124.0,83.0,257.0,106.0,213.0,101.0,106.0,308.0,299.0,165.0,1350.0,439.0,314.0,70.0,550.0,303.0,14.0,302.0,207.0,224.0,325.0,124.0,2372.0,120.0,153.0,268.0,26.0,240.0,301.0,123.0,510.0,129.0,56.0,46.0,145.0,157.0,290.0,866.0,172.0,482.0,280.0,264.0,54.0,437.0,673.0,313.0,149.0,37.0
Female,"Know it well,  understand the concept",807.0,406.0,448.0,423.0,928.0,732.0,791.0,875.0,866.0,1366.0,385.0,782.0,68.0,387.0,926.0,264.0,40.0,92.0,39.0,53.0,792.0,192.0,851.0,121.0,851.0,10.0,236.0,39.0,130.0,3175.0,134.0,412.0,1204.0,17.0,123.0,19.0,28.0,439.0,338.0,179.0,78.0,1173.0,713.0,90.0,123.0,372.0,391.0,356.0,914.0,794.0,715.0,1245.0,942.0,830.0,200.0,428.0,2456.0,23.0,655.0,796.0,286.0,711.0,1001.0,682.0,191.0,588.0,1098.0
Female,Never heard of it,42.0,781.0,1750.0,468.0,796.0,2139.0,118.0,2600.0,320.0,122.0,402.0,714.0,208.0,643.0,45.0,788.0,1443.0,689.0,2032.0,231.0,334.0,590.0,71.0,729.0,84.0,949.0,369.0,1082.0,1258.0,2429.0,737.0,865.0,81.0,530.0,609.0,39.0,976.0,696.0,615.0,549.0,193.0,3156.0,122.0,869.0,531.0,16.0,578.0,236.0,150.0,1017.0,112.0,37.0,24.0,264.0,765.0,354.0,2386.0,1207.0,1648.0,266.0,492.0,64.0,1164.0,1400.0,560.0,239.0,64.0
Male,Heard of it a few times,133.0,238.0,1006.0,197.0,366.0,1012.0,269.0,1349.0,338.0,83.0,434.0,362.0,113.0,147.0,237.0,235.0,404.0,330.0,455.0,130.0,95.0,188.0,242.0,280.0,211.0,124.0,358.0,230.0,131.0,1434.0,466.0,370.0,218.0,404.0,247.0,13.0,220.0,196.0,328.0,349.0,117.0,2465.0,210.0,216.0,262.0,44.0,305.0,306.0,284.0,524.0,241.0,141.0,194.0,223.0,245.0,388.0,1169.0,154.0,477.0,274.0,185.0,189.0,556.0,741.0,364.0,254.0,85.0
Male,Heard of it often,327.0,252.0,759.0,220.0,464.0,917.0,379.0,1096.0,488.0,240.0,468.0,632.0,101.0,164.0,382.0,191.0,194.0,146.0,216.0,93.0,169.0,137.0,399.0,212.0,413.0,68.0,518.0,110.0,111.0,2207.0,418.0,366.0,502.0,198.0,159.0,13.0,109.0,181.0,274.0,278.0,94.0,1974.0,328.0,126.0,216.0,137.0,371.0,303.0,457.0,495.0,475.0,399.0,357.0,386.0,209.0,416.0,1483.0,79.0,398.0,534.0,181.0,601.0,630.0,753.0,256.0,314.0,445.0
Male,Heard of it once or twice,70.0,279.0,918.0,222.0,256.0,940.0,238.0,1197.0,220.0,38.0,251.0,296.0,104.0,178.0,100.0,300.0,469.0,393.0,596.0,128.0,121.0,242.0,164.0,234.0,112.0,154.0,329.0,324.0,158.0,1047.0,400.0,339.0,145.0,504.0,289.0,10.0,327.0,163.0,220.0,351.0,79.0,2275.0,163.0,205.0,246.0,25.0,305.0,241.0,127.0,561.0,195.0,77.0,67.0,177.0,227.0,319.0,917.0,247.0,569.0,331.0,200.0,117.0,477.0,688.0,338.0,160.0,45.0
Male,"Know it well,  understand the concept",798.0,324.0,656.0,504.0,1045.0,662.0,589.0,1143.0,819.0,1174.0,383.0,656.0,90.0,307.0,877.0,278.0,125.0,121.0,110.0,84.0,662.0,210.0,707.0,271.0,646.0,52.0,172.0,88.0,174.0,4234.0,266.0,373.0,857.0,74.0,141.0,34.0,62.0,522.0,397.0,154.0,109.0,1057.0,629.0,137.0,230.0,335.0,301.0,341.0,792.0,773.0,625.0,977.0,797.0,740.0,204.0,506.0,2429.0,76.0,813.0,424.0,232.0,626.0,946.0,834.0,210.0,534.0,874.0
Male,Never heard of it,45.0,579.0,1362.0,384.0,605.0,1901.0,184.0,2020.0,274.0,129.0,370.0,640.0,132.0,497.0,74.0,704.0,1135.0,560.0,1467.0,170.0,353.0,559.0,110.0,644.0,98.0,669.0,370.0,849.0,810.0,1275.0,577.0,606.0,123.0,606.0,561.0,36.0,765.0,625.0,559.0,465.0,125.0,2724.0,132.0,736.0,413.0,32.0,501.0,244.0,155.0,767.0,118.0,58.0,60.0,315.0,693.0,382.0,2178.0,934.0,1466.0,324.0,397.0,80.0,934.0,1082.0,416.0,220.0,92.0
