ST04Q01,EC04Q05C,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,1159.0,464.0,1745.0,2173.0,859.0,167.0,439.0,344.0,851.0,770.0,726.0,3904.0,552.0,242.0,672.0,1044.0,756.0,545.0,934.0,689.0,718.0,361.0
Female,2,5672.0,1867.0,2436.0,8628.0,1773.0,2310.0,3284.0,3991.0,1241.0,1743.0,1814.0,11282.0,1789.0,1939.0,1902.0,1553.0,1360.0,2237.0,1381.0,2057.0,1483.0,2314.0
Male,1,1636.0,549.0,1853.0,2529.0,1075.0,210.0,600.0,524.0,1162.0,602.0,736.0,4368.0,879.0,265.0,674.0,1252.0,740.0,629.0,750.0,755.0,786.0,452.0
Male,2,5479.0,1814.0,2269.0,7882.0,1462.0,2306.0,3005.0,3832.0,1217.0,1660.0,1715.0,11374.0,1810.0,1840.0,1992.0,1472.0,1386.0,2147.0,1505.0,2027.0,1615.0,2720.0
