ST04Q01,ST24Q01,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,280.0,267.0,262.0,103.0,385.0,19.0,152.0,390.0,475.0,153.0
Female,Disagree,195.0,386.0,197.0,109.0,270.0,5.0,113.0,100.0,130.0,93.0
Female,Strongly agree,211.0,119.0,242.0,24.0,429.0,4.0,106.0,402.0,241.0,98.0
Female,Strongly disagree,66.0,130.0,31.0,14.0,77.0,3.0,20.0,11.0,15.0,12.0
Male,Agree,282.0,258.0,251.0,123.0,420.0,26.0,163.0,367.0,610.0,188.0
Male,Disagree,148.0,282.0,120.0,102.0,214.0,9.0,84.0,99.0,138.0,58.0
Male,Strongly agree,271.0,197.0,295.0,43.0,598.0,26.0,106.0,527.0,498.0,177.0
Male,Strongly disagree,78.0,128.0,29.0,18.0,78.0,15.0,16.0,24.0,28.0,24.0
