ST04Q01,ST23Q01,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,359.0,459.0,207.0,148.0,380.0,18.0,170.0,319.0,326.0,152.0
Female,Disagree,48.0,58.0,11.0,8.0,20.0,,8.0,17.0,24.0,11.0
Female,Strongly agree,344.0,444.0,523.0,106.0,742.0,12.0,202.0,530.0,549.0,199.0
Female,Strongly disagree,22.0,16.0,2.0,1.0,8.0,1.0,10.0,3.0,9.0,5.0
Male,Agree,343.0,409.0,235.0,145.0,429.0,30.0,153.0,302.0,453.0,170.0
Male,Disagree,58.0,50.0,19.0,8.0,30.0,4.0,22.0,26.0,31.0,25.0
Male,Strongly agree,365.0,452.0,449.0,138.0,820.0,40.0,187.0,639.0,807.0,247.0
Male,Strongly disagree,41.0,26.0,8.0,,22.0,6.0,15.0,19.0,25.0,11.0
