ST04Q01,EC04Q02A,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,3112.0,866.0,210.0,4263.0,100.0,429.0,324.0,2290.0,345.0,235.0,892.0,1730.0,1111.0,424.0,673.0,207.0,799.0,516.0,239.0,586.0,155.0,451.0
Female,2,3730.0,1464.0,3970.0,6537.0,2536.0,2046.0,3399.0,2047.0,1747.0,2279.0,1648.0,13466.0,1230.0,1758.0,1901.0,2389.0,1317.0,2264.0,2071.0,2160.0,2044.0,2217.0
Male,1,3114.0,928.0,312.0,4070.0,115.0,526.0,501.0,2078.0,398.0,302.0,737.0,2501.0,1122.0,433.0,752.0,219.0,759.0,618.0,325.0,651.0,326.0,693.0
Male,2,4050.0,1430.0,3809.0,6353.0,2423.0,1992.0,3104.0,2276.0,1981.0,1958.0,1714.0,13243.0,1567.0,1670.0,1916.0,2504.0,1366.0,2159.0,1925.0,2131.0,2073.0,2482.0
