ST04Q01,EC09Q03,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",2115.0,3983.0,9917.0,3328.0,590.0,1942.0,1993.0,2343.0,12342.0,2333.0,2070.0,2286.0,1783.0,2180.0,1238.0,1769.0,491.0
Female,Yes,214.0,200.0,894.0,395.0,353.0,162.0,99.0,196.0,570.0,8.0,113.0,289.0,1038.0,166.0,1503.0,432.0,120.0
Male,"No, never",2069.0,3843.0,9278.0,3172.0,562.0,1868.0,2255.0,2253.0,11217.0,2667.0,1948.0,2347.0,1672.0,2078.0,1205.0,1798.0,732.0
Male,Yes,295.0,280.0,1156.0,428.0,335.0,220.0,125.0,198.0,829.0,22.0,156.0,326.0,1148.0,212.0,1574.0,605.0,260.0
