ST04Q01,EC04Q02B,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,3383.0,1218.0,2195.0,6103.0,430.0,1506.0,2627.0,1941.0,905.0,1464.0,1039.0,8370.0,982.0,1474.0,1121.0,1332.0,1121.0,1399.0,1161.0,1208.0,888.0,1562.0
Female,2,3459.0,1111.0,1985.0,4697.0,2206.0,972.0,1096.0,2396.0,1187.0,1049.0,1501.0,6820.0,1359.0,709.0,1453.0,1264.0,994.0,1381.0,1149.0,1538.0,1311.0,1106.0
Male,1,3600.0,1250.0,2199.0,6168.0,499.0,1664.0,2341.0,1980.0,948.0,1424.0,1189.0,9338.0,1069.0,1536.0,1276.0,1456.0,1195.0,1507.0,1398.0,1345.0,1107.0,1912.0
Male,2,3564.0,1106.0,1922.0,4255.0,2039.0,853.0,1264.0,2376.0,1431.0,837.0,1262.0,6409.0,1620.0,567.0,1392.0,1267.0,931.0,1270.0,852.0,1437.0,1291.0,1266.0
