ST04Q01,ST06Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,10,,,,,,339.0,1.0,20.0,2.0,3.0,,,1.0,4.0,,,1.0,,,,3.0,,,4.0,,,,,,,,4.0,,,,,,,,3.0,,7.0,,,1.0,,,5.0,,26.0,,,,,,,,,1.0,18.0,,1.0,1.0,13.0,,,,
Female,11,,,,,,530.0,1.0,7.0,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,4.0,,,,1.0,,,,1.0,,11.0,,,,,,15.0,,9.0,,,,,,,,,2.0,9.0,,,,2.0,,,,
Female,12,,,,,,212.0,,18.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,5.0,,33.0,,,,,,12.0,,2.0,,,,,,,,,3.0,10.0,,1.0,,3.0,,,,
Female,13,,,,,,84.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,23.0,,7.0,,,,1.0,,4.0,,2.0,,,,,,,,,1.0,4.0,,,,,,1.0,,
Female,14,,,,,,121.0,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,2.0,1.0,,,,1.0,,1.0,,
Female,15,,,,,,162.0,1.0,,,,,,5.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,10.0,,,,,,16.0,,,,,,,,,,,2.0,2.0,,,,7.0,,5.0,,
Female,16,,,,,,32.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,10.0,,4.0,,,,,,4.0,,,,,,,,,,,,,,,,7.0,,4.0,,
Female,4,3.0,,883.0,,33.0,389.0,2.0,1519.0,20.0,30.0,,,45.0,,,,3.0,,6.0,20.0,49.0,,,,3.0,23.0,,1415.0,,,,22.0,,9.0,,,,,,14.0,11.0,97.0,,,119.0,10.0,,60.0,,,424.0,2.0,2.0,,20.0,,,,4.0,176.0,,,,196.0,1669.0,70.0,36.0,
Female,5,44.0,499.0,3867.0,116.0,797.0,916.0,3.0,5276.0,458.0,93.0,77.0,1079.0,269.0,63.0,7.0,34.0,142.0,7.0,9.0,228.0,348.0,122.0,103.0,205.0,5.0,350.0,201.0,875.0,126.0,1850.0,,253.0,100.0,29.0,19.0,8.0,50.0,131.0,249.0,30.0,192.0,1516.0,18.0,271.0,1758.0,607.0,3.0,491.0,,647.0,828.0,4.0,22.0,,42.0,28.0,233.0,3284.0,34.0,382.0,175.0,319.0,17.0,1298.0,3448.0,534.0,320.0,49.0
Female,6,1439.0,2123.0,1650.0,1765.0,2780.0,3077.0,334.0,2151.0,2384.0,816.0,715.0,2420.0,411.0,904.0,930.0,1832.0,1339.0,402.0,1324.0,552.0,1312.0,1525.0,1831.0,1442.0,1004.0,1250.0,1503.0,90.0,1878.0,12410.0,2994.0,2960.0,1278.0,983.0,588.0,66.0,792.0,1708.0,1456.0,120.0,576.0,13157.0,946.0,1457.0,138.0,1541.0,213.0,1872.0,9.0,1750.0,2477.0,515.0,963.0,297.0,576.0,1507.0,1633.0,8723.0,595.0,2250.0,2862.0,1916.0,441.0,3065.0,524.0,1419.0,2110.0,2018.0
