ST04Q01,ST83Q02,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,556,868,2168,499,1379,3000,772,2935,922,882,1180,1334,227,647,836,894,1328,830,1367,268,783,508,818,839,803,502,1116,784,745,4650,1036,943,843,984,756,28,497,622,1074,818,254,5079,767,717,655,834,297,992,794,935,1525,816,725,766,794,703,840,3899,788,1467,1456,620,716,1593,1842,681,724,966
Female,Disagree,59,273,548,400,378,771,161,590,319,60,160,363,37,191,316,298,374,222,325,69,229,348,306,91,308,123,81,289,266,1538,262,135,60,197,128,21,139,353,155,86,35,1445,196,278,194,240,44,202,269,210,317,207,106,208,72,290,310,1604,256,584,206,108,174,257,413,155,227,82
Female,Strongly agree,684,675,1739,389,859,2411,690,3358,941,805,681,1092,268,653,426,454,638,517,1076,265,453,339,486,439,419,461,655,519,656,3260,605,1269,1020,330,547,29,827,473,464,836,286,4482,525,296,491,348,218,660,409,652,1439,621,827,499,947,360,502,2270,404,1422,828,689,606,1839,1780,701,739,695
Female,Strongly disagree,10,110,148,244,123,233,37,208,95,13,33,84,11,82,83,94,88,52,75,31,105,197,102,28,117,35,10,93,88,580,63,42,9,49,29,8,56,212,40,18,8,501,70,75,43,56,4,57,78,55,92,88,28,69,17,86,102,588,59,221,21,93,55,45,91,42,70,11
Male,Agree,556,838,2309,578,1417,2597,807,2938,935,838,1069,1200,238,519,823,883,1377,834,1490,281,712,536,784,937,789,561,1100,767,570,4934,1154,818,855,1103,701,39,578,716,1089,828,234,4887,721,816,705,851,301,924,778,973,1383,753,818,711,808,867,1024,3858,764,1636,1091,522,750,1475,1990,804,693,861
Male,Disagree,68,258,520,359,333,602,172,582,317,63,151,305,37,119,251,271,232,206,292,65,183,280,241,133,223,105,94,271,247,1473,335,175,82,262,146,24,173,331,180,122,38,1275,172,275,167,203,43,172,249,197,340,203,118,171,93,259,367,1492,223,463,150,130,202,341,384,134,172,50
Male,Strongly agree,727,586,1714,454,787,2239,660,3076,859,781,674,1040,258,606,522,457,680,451,970,251,428,402,548,500,416,438,613,515,505,3432,620,1033,943,319,471,34,742,517,490,646,262,4059,538,290,479,376,239,635,357,634,1385,584,793,547,907,378,511,2258,442,1400,608,549,611,1651,1656,674,625,622
Male,Strongly disagree,13,113,156,176,143,177,62,244,98,15,58,87,6,59,65,89,66,55,80,20,96,131,95,48,90,33,11,83,89,586,94,85,11,101,38,8,49,183,41,26,6,425,69,69,40,76,9,40,101,50,143,75,36,61,20,83,123,628,55,183,21,54,67,124,105,48,69,9
