ST04Q01,ST91Q03,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,283,612,1607,449,846,1486,334,2245,811,310,458,797,131,397,436,502,732,375,459,181,375,408,534,391,376,212,620,551,566,2927,468,703,328,416,352,20,287,469,563,564,162,3032,344,274,501,384,109,544,410,630,956,411,335,379,631,374,436,1719,409,1030,1060,408,327,997,1260,476,427,388
Female,Disagree,488,697,1938,515,1242,2854,749,3094,848,1148,1210,1192,276,638,766,888,1118,848,1293,239,708,551,727,815,806,522,876,712,566,4352,949,691,957,856,781,40,420,618,887,726,264,4928,701,702,559,746,317,834,745,756,1054,789,898,689,808,689,897,3754,610,1489,892,537,632,1332,1699,677,719,1006
Female,Strongly agree,135,285,497,191,163,651,156,596,276,61,102,265,42,127,110,96,162,82,112,74,84,145,132,69,74,68,181,171,192,730,145,397,94,79,73,8,102,179,138,172,57,1040,113,66,168,116,24,146,84,167,524,214,67,113,163,100,103,436,121,292,353,204,148,381,369,114,168,51
Female,Strongly disagree,375,324,542,382,465,1205,388,1126,321,240,282,423,91,396,342,249,365,311,972,127,387,283,309,117,384,299,172,243,376,1973,400,577,536,212,254,16,709,374,141,269,92,2456,392,332,156,222,115,258,307,327,756,306,384,372,222,271,312,2361,348,854,201,294,445,963,767,301,391,293
Male,Agree,319,532,1449,372,672,1441,401,1911,786,381,542,718,126,314,394,401,646,368,409,152,311,345,485,483,332,248,668,463,408,2796,532,606,366,521,308,23,323,494,609,576,128,2939,354,297,453,393,121,587,376,607,920,430,307,350,572,347,593,1744,324,983,879,346,325,996,1031,465,357,366
Male,Disagree,460,597,2179,534,1299,2202,674,3058,801,1006,1025,1074,269,457,727,822,1120,781,1373,274,636,506,686,833,658,479,737,742,517,4319,1020,536,862,896,696,27,435,577,822,639,273,4262,566,764,596,715,308,710,655,702,935,674,878,606,753,725,880,3536,635,1364,504,402,635,1136,1905,764,563,865
Male,Strongly agree,157,319,386,198,200,821,238,638,303,104,144,301,44,138,137,107,166,87,106,65,102,127,200,115,112,109,227,123,154,825,235,604,168,134,103,13,158,202,170,190,38,1400,222,80,139,143,53,191,116,185,800,252,144,188,213,139,211,584,110,322,385,244,210,653,289,123,178,61
Male,Strongly disagree,392,323,629,453,488,997,365,1209,308,197,245,362,90,382,391,356,389,298,933,112,356,378,284,177,398,276,161,296,319,2388,407,328,481,238,248,39,626,455,194,189,96,1984,352,312,193,244,107,172,333,357,499,251,427,341,285,378,329,2272,410,984,99,234,458,724,899,287,410,251
