ST04Q01,EC04Q06A,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,1707.0,314.0,255.0,3409.0,144.0,513.0,437.0,2175.0,469.0,440.0,419.0,3484.0,220.0,344.0,356.0,406.0,436.0,565.0,469.0,661.0,249.0,565.0
Female,2,5099.0,2016.0,3926.0,7375.0,2491.0,1965.0,3286.0,2158.0,1622.0,2068.0,2121.0,11701.0,2120.0,1836.0,2218.0,2190.0,1682.0,2215.0,1847.0,2085.0,1950.0,2110.0
Male,1,1925.0,439.0,338.0,3334.0,164.0,634.0,567.0,1979.0,470.0,515.0,448.0,3940.0,333.0,463.0,478.0,428.0,463.0,605.0,465.0,655.0,333.0,783.0
Male,2,5152.0,1920.0,3788.0,7078.0,2374.0,1883.0,3038.0,2378.0,1909.0,1748.0,2003.0,11802.0,2356.0,1641.0,2189.0,2296.0,1662.0,2174.0,1790.0,2127.0,2070.0,2388.0
