ST04Q01,ST94Q05,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Mostly like me,477.0,365.0,1522.0,604.0,860.0,2258.0,619.0,2501.0,847.0,533.0,356.0,792.0,193.0,417.0,589.0,688.0,839.0,605.0,868.0,211.0,398.0,606.0,579.0,344.0,787.0,295.0,721.0,580.0,602.0,3521.0,301.0,983.0,709.0,314.0,431.0,40.0,498.0,574.0,413.0,469.0,210.0,2725.0,634.0,509.0,389.0,491.0,213.0,718.0,679.0,797.0,1355.0,648.0,578.0,632.0,568.0,457.0,703.0,2751.0,617.0,1376.0,531.0,577.0,521.0,1575.0,1497.0,566.0,443.0,253.0
Female,Not at all like me,25.0,91.0,159.0,21.0,102.0,156.0,40.0,148.0,41.0,36.0,85.0,86.0,15.0,35.0,22.0,26.0,74.0,31.0,107.0,18.0,56.0,14.0,29.0,28.0,18.0,68.0,27.0,60.0,67.0,171.0,127.0,26.0,26.0,53.0,16.0,1.0,33.0,46.0,33.0,48.0,11.0,377.0,13.0,28.0,50.0,36.0,6.0,51.0,12.0,24.0,65.0,46.0,49.0,17.0,33.0,65.0,29.0,167.0,33.0,43.0,40.0,53.0,40.0,62.0,128.0,38.0,54.0,110.0
Female,Not much like me,71.0,378.0,779.0,165.0,497.0,601.0,143.0,813.0,234.0,353.0,659.0,378.0,52.0,208.0,177.0,160.0,304.0,195.0,604.0,56.0,298.0,101.0,111.0,384.0,135.0,224.0,152.0,253.0,204.0,1572.0,713.0,86.0,142.0,464.0,153.0,6.0,232.0,163.0,416.0,316.0,59.0,2008.0,51.0,176.0,289.0,195.0,76.0,178.0,88.0,168.0,176.0,139.0,278.0,53.0,309.0,193.0,134.0,1156.0,189.0,430.0,368.0,139.0,147.0,259.0,667.0,190.0,327.0,600.0
Female,Somewhat like me,235.0,746.0,1567.0,488.0,1074.0,1838.0,466.0,2360.0,740.0,605.0,824.0,1077.0,173.0,530.0,702.0,660.0,945.0,525.0,1024.0,198.0,611.0,419.0,551.0,614.0,493.0,325.0,660.0,517.0,401.0,3506.0,734.0,303.0,518.0,658.0,695.0,25.0,540.0,581.0,699.0,826.0,163.0,4798.0,210.0,518.0,513.0,402.0,204.0,607.0,451.0,554.0,748.0,418.0,526.0,367.0,767.0,555.0,591.0,3032.0,410.0,1321.0,1388.0,316.0,576.0,842.0,1349.0,488.0,684.0,733.0
Female,Very much like me,524.0,359.0,539.0,281.0,260.0,1548.0,348.0,1310.0,459.0,213.0,118.0,572.0,115.0,328.0,170.0,212.0,293.0,217.0,263.0,138.0,164.0,247.0,398.0,63.0,255.0,174.0,289.0,273.0,513.0,1280.0,110.0,964.0,522.0,84.0,157.0,24.0,172.0,290.0,136.0,159.0,121.0,1570.0,610.0,154.0,132.0,368.0,73.0,295.0,354.0,308.0,1008.0,429.0,311.0,466.0,147.0,189.0,269.0,1202.0,328.0,547.0,136.0,410.0,293.0,989.0,499.0,310.0,300.0,76.0
Male,Mostly like me,474.0,420.0,1690.0,596.0,883.0,1913.0,617.0,2428.0,860.0,570.0,493.0,805.0,224.0,423.0,590.0,647.0,845.0,542.0,955.0,203.0,486.0,586.0,573.0,481.0,672.0,359.0,672.0,555.0,532.0,3800.0,444.0,622.0,716.0,464.0,394.0,50.0,551.0,606.0,373.0,395.0,199.0,2908.0,586.0,597.0,456.0,542.0,224.0,725.0,602.0,800.0,1129.0,680.0,556.0,515.0,659.0,522.0,843.0,2955.0,562.0,1437.0,507.0,432.0,491.0,1301.0,1626.0,591.0,472.0,302.0
Male,Not at all like me,17.0,83.0,114.0,24.0,96.0,172.0,70.0,159.0,50.0,39.0,88.0,71.0,9.0,23.0,39.0,22.0,50.0,27.0,63.0,14.0,51.0,16.0,65.0,38.0,15.0,37.0,40.0,51.0,43.0,271.0,126.0,66.0,35.0,51.0,26.0,,63.0,44.0,70.0,64.0,7.0,345.0,28.0,22.0,35.0,37.0,16.0,44.0,31.0,33.0,120.0,39.0,52.0,29.0,34.0,90.0,30.0,168.0,31.0,60.0,45.0,32.0,44.0,87.0,104.0,26.0,42.0,77.0
Male,Not much like me,58.0,202.0,634.0,126.0,302.0,395.0,128.0,556.0,140.0,281.0,394.0,221.0,38.0,125.0,107.0,154.0,224.0,170.0,404.0,41.0,172.0,77.0,96.0,295.0,137.0,143.0,161.0,200.0,86.0,1131.0,519.0,62.0,160.0,348.0,133.0,7.0,147.0,98.0,492.0,214.0,32.0,1346.0,37.0,124.0,213.0,161.0,54.0,125.0,77.0,138.0,156.0,124.0,229.0,56.0,242.0,150.0,92.0,750.0,134.0,263.0,215.0,79.0,130.0,171.0,456.0,120.0,161.0,373.0
Male,Somewhat like me,202.0,552.0,1639.0,418.0,874.0,1391.0,328.0,1999.0,574.0,516.0,738.0,816.0,136.0,444.0,577.0,590.0,756.0,559.0,996.0,176.0,429.0,347.0,446.0,635.0,408.0,289.0,575.0,495.0,253.0,3258.0,861.0,213.0,429.0,758.0,652.0,22.0,521.0,442.0,739.0,631.0,130.0,4025.0,163.0,460.0,508.0,387.0,197.0,511.0,360.0,504.0,570.0,393.0,481.0,290.0,688.0,508.0,480.0,2530.0,378.0,1054.0,966.0,234.0,565.0,644.0,1296.0,456.0,443.0,579.0
Male,Very much like me,525.0,453.0,774.0,399.0,477.0,1678.0,575.0,1713.0,559.0,289.0,254.0,616.0,150.0,345.0,329.0,296.0,436.0,270.0,428.0,158.0,280.0,387.0,500.0,178.0,240.0,284.0,348.0,308.0,461.0,1872.0,218.0,1156.0,564.0,155.0,212.0,19.0,263.0,537.0,167.0,224.0,156.0,1976.0,706.0,272.0,177.0,408.0,106.0,340.0,404.0,382.0,1269.0,416.0,376.0,583.0,244.0,276.0,565.0,1804.0,359.0,839.0,201.0,479.0,383.0,1386.0,667.0,389.0,407.0,149.0
