ST04Q01,ST23Q03,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,341.0,387.0,276.0,157.0,473.0,17.0,182.0,320.0,374.0,151.0
Female,Disagree,125.0,215.0,85.0,34.0,68.0,2.0,51.0,62.0,103.0,88.0
Female,Strongly agree,254.0,286.0,364.0,63.0,579.0,7.0,132.0,466.0,389.0,101.0
Female,Strongly disagree,46.0,62.0,15.0,4.0,14.0,1.0,17.0,7.0,24.0,18.0
Male,Agree,321.0,368.0,295.0,148.0,499.0,29.0,156.0,325.0,472.0,179.0
Male,Disagree,131.0,146.0,91.0,39.0,134.0,12.0,43.0,75.0,131.0,105.0
Male,Strongly agree,282.0,327.0,303.0,92.0,600.0,26.0,147.0,559.0,670.0,139.0
Male,Strongly disagree,59.0,60.0,19.0,8.0,41.0,8.0,26.0,17.0,35.0,20.0
