ST04Q01,ST23Q07,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,300.0,314.0,257.0,152.0,441.0,14.0,164.0,331.0,397.0,149.0
Female,Disagree,178.0,235.0,117.0,31.0,146.0,5.0,71.0,89.0,96.0,82.0
Female,Strongly agree,210.0,283.0,340.0,62.0,530.0,6.0,120.0,419.0,364.0,105.0
Female,Strongly disagree,69.0,101.0,25.0,7.0,16.0,2.0,31.0,11.0,24.0,20.0
Male,Agree,296.0,348.0,286.0,137.0,464.0,26.0,148.0,343.0,476.0,185.0
Male,Disagree,148.0,161.0,105.0,34.0,158.0,16.0,67.0,99.0,120.0,89.0
Male,Strongly agree,268.0,298.0,281.0,102.0,593.0,23.0,121.0,519.0,644.0,140.0
Male,Strongly disagree,78.0,81.0,32.0,10.0,55.0,10.0,35.0,16.0,53.0,32.0
