ST04Q01,ST26Q08,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,No,448,1120,4235,862,2587,3764,688,6833,1345,466,1273,1943,423,1470,1479,1262,2584,540,1885,565,1236,797,1272,1024,637,427,1705,1493,1200,5909,2107,1949,640,763,554,57,810,1102,1350,1622,460,9311,471,1343,1247,1153,155,780,1080,1249,2155,319,458,509,1759,685,946,4721,1427,3448,1894,1403,849,3002,3710,1382,1227,1530
Female,Yes,1712,1828,2512,1454,1521,5659,1802,3767,2115,2157,1786,2626,402,883,889,1371,1058,1838,2380,360,1085,1265,1206,1094,1843,1261,1040,951,1403,9213,874,1560,2259,1522,1611,79,1428,1426,1236,1021,408,7667,1770,714,845,1034,689,2232,1279,1525,2952,2187,2055,1736,968,1498,1698,7774,821,2030,1807,858,1443,2650,2279,1010,1334,1046
Male,No,460,1426,4661,1099,2804,4818,1079,7070,1687,728,1432,2024,485,1442,1709,1501,2588,740,2424,587,1332,934,1450,1296,870,524,1672,1582,1043,7342,2509,1917,865,1044,764,75,1236,1355,1754,1356,522,9510,763,1740,1367,1279,230,823,1251,1504,2390,512,656,848,1900,1091,1483,5790,1441,3847,1721,1418,1061,3124,4057,1582,1286,1331
Male,Yes,1683,1210,2305,1216,1226,3586,1483,3087,1586,1786,1404,2066,329,605,671,1078,961,1576,1806,315,826,1104,985,1154,1344,1174,972,763,1062,8283,739,1259,1949,1571,1308,75,991,1265,941,1013,284,6156,1457,445,715,972,620,1990,930,1267,2713,1934,1827,1349,830,1279,1605,6557,750,1624,1122,503,1342,2342,1922,846,910,930
