ST04Q01,ST01Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,10,1591.0,2139.0,4960.0,1277.0,2854.0,3483.0,129.0,9567.0,2543.0,1493.0,2127.0,2097.0,486.0,1036.0,553.0,1346.0,50.0,44.0,,648.0,1677.0,985.0,2508.0,1477.0,650.0,1739.0,1411.0,675.0,2379.0,12847.0,3021.0,3384.0,897.0,2209.0,85.0,30.0,304.0,1009.0,1289.0,2675.0,714.0,12958.0,529.0,1083.0,110.0,2285.0,44.0,1539.0,9.0,1615.0,3445.0,150.0,470.0,49.0,2465.0,1297.0,2561.0,9357.0,45.0,725.0,2877.0,1453.0,1683.0,3633.0,60.0,1830.0,1741.0,2387.0
Female,11,10.0,104.0,1452.0,3.0,45.0,4342.0,1.0,135.0,225.0,14.0,,1059.0,310.0,10.0,,,,,7.0,133.0,81.0,20.0,,13.0,,,128.0,312.0,13.0,329.0,,,8.0,4.0,,,1.0,11.0,17.0,1.0,172.0,524.0,,11.0,1890.0,,,797.0,,4.0,965.0,,4.0,,3.0,43.0,112.0,5.0,,9.0,131.0,162.0,115.0,1211.0,5188.0,425.0,40.0,
Female,12,,45.0,3.0,,,474.0,,2.0,,3.0,,,,,,,,,,,3.0,,,,,,9.0,,,1.0,,,,,,,,,,,1.0,21.0,,,128.0,,,,,,9.0,,,,,,,,,,,,6.0,63.0,1058.0,3.0,,
Female,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
Female,7,3.0,36.0,1.0,4.0,28.0,,9.0,5.0,19.0,22.0,,158.0,,113.0,,4.0,11.0,7.0,62.0,,,9.0,6.0,20.0,16.0,,39.0,3.0,1.0,34.0,,1.0,4.0,,13.0,6.0,3.0,17.0,91.0,,,87.0,,,,,3.0,67.0,3.0,65.0,28.0,2.0,11.0,1.0,10.0,40.0,,8.0,,23.0,1.0,95.0,14.0,50.0,,,115.0,3.0
Female,8,25.0,259.0,12.0,58.0,217.0,652.0,67.0,65.0,67.0,108.0,2.0,500.0,,248.0,,63.0,528.0,417.0,619.0,1.0,33.0,205.0,9.0,128.0,64.0,,169.0,33.0,5.0,160.0,,37.0,122.0,,216.0,16.0,118.0,248.0,346.0,,,532.0,,59.0,,,109.0,209.0,49.0,186.0,141.0,132.0,188.0,9.0,61.0,70.0,2.0,838.0,64.0,686.0,7.0,226.0,42.0,166.0,,1.0,315.0,46.0
Female,9,787.0,530.0,647.0,1015.0,1106.0,1224.0,2372.0,1169.0,658.0,997.0,982.0,993.0,49.0,1053.0,1927.0,1267.0,3188.0,1941.0,3682.0,170.0,581.0,1243.0,53.0,523.0,1799.0,,1104.0,1522.0,427.0,1872.0,,193.0,1900.0,129.0,1871.0,86.0,1846.0,1296.0,861.0,69.0,5.0,3431.0,1844.0,992.0,2.0,6.0,706.0,506.0,2327.0,800.0,717.0,2288.0,1941.0,2309.0,213.0,781.0,24.0,2482.0,2269.0,4136.0,720.0,454.0,510.0,669.0,1.0,194.0,615.0,140.0
Female,96,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,11.0,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,72.0
Male,10,1320.0,1626.0,5156.0,1216.0,2514.0,3257.0,116.0,8932.0,2230.0,1285.0,1924.0,1805.0,515.0,763.0,443.0,1040.0,23.0,32.0,,603.0,1440.0,844.0,2433.0,1611.0,444.0,1769.0,1186.0,502.0,1801.0,12466.0,3330.0,3222.0,757.0,2519.0,49.0,16.0,221.0,988.0,1096.0,2341.0,701.0,11133.0,420.0,1007.0,151.0,2379.0,40.0,1368.0,4.0,1371.0,3661.0,114.0,483.0,32.0,2493.0,1371.0,3089.0,8387.0,35.0,636.0,2060.0,1053.0,1519.0,3384.0,106.0,1803.0,1310.0,1898.0
Male,11,7.0,86.0,1282.0,,45.0,3018.0,,106.0,192.0,15.0,,781.0,266.0,1.0,,,,,3.0,102.0,69.0,17.0,,13.0,,,87.0,307.0,19.0,253.0,,,6.0,6.0,1.0,,1.0,15.0,6.0,,117.0,390.0,,11.0,1900.0,2.0,1.0,659.0,,8.0,914.0,,2.0,,1.0,40.0,86.0,7.0,,8.0,83.0,102.0,79.0,1145.0,5142.0,369.0,28.0,
