ST04Q01,ST22Q01,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,No,652.0,895.0,781.0,243.0,944.0,6.0,395.0,311.0,63.0,325.0
Female,Yes,2351.0,374.0,3385.0,124.0,1403.0,123.0,2305.0,1897.0,1086.0,2173.0
Male,No,609.0,753.0,755.0,259.0,898.0,8.0,373.0,287.0,89.0,383.0
Male,Yes,2340.0,444.0,3394.0,153.0,1817.0,225.0,2312.0,1855.0,1474.0,2457.0
