ST04Q01,IC11Q04,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,No,4208.0,1443.0,3091.0,2687.0,1983.0,2804.0,1837.0,2105.0,2020.0,1454.0,1876.0,3557.0,1555.0,1901.0,1684.0,1980.0,1155.0,1976.0,1634.0,9477.0,2349.0,1146.0,2100.0,1795.0,88.0,1765.0,9843.0,1614.0,1410.0,459.0,464.0,2002.0,1944.0,1450.0,1662.0,1893.0,1646.0,2035.0,8821.0,1899.0,3675.0,1667.0,1824.0
Female,"Yes, but only the teacher demonstrated this ",870.0,255.0,314.0,292.0,519.0,158.0,114.0,128.0,189.0,413.0,233.0,301.0,189.0,269.0,255.0,145.0,103.0,290.0,154.0,1132.0,96.0,571.0,126.0,204.0,21.0,361.0,2648.0,244.0,292.0,189.0,85.0,111.0,387.0,327.0,187.0,391.0,159.0,253.0,1062.0,148.0,839.0,237.0,147.0
Female,"Yes, students did this",1604.0,557.0,483.0,395.0,120.0,116.0,217.0,206.0,339.0,1311.0,241.0,349.0,280.0,317.0,125.0,268.0,251.0,220.0,244.0,3426.0,424.0,1642.0,106.0,158.0,28.0,435.0,3935.0,159.0,331.0,1474.0,287.0,224.0,365.0,765.0,383.0,419.0,344.0,306.0,1914.0,94.0,795.0,356.0,306.0
Male,No,3943.0,1404.0,2738.0,2317.0,1735.0,2513.0,1457.0,1801.0,1731.0,1175.0,1598.0,3135.0,1394.0,1492.0,1770.0,1471.0,1045.0,1779.0,1381.0,8087.0,2342.0,769.0,2266.0,1396.0,82.0,1754.0,7919.0,1549.0,1247.0,496.0,430.0,1619.0,1664.0,1167.0,1329.0,1758.0,1540.0,1838.0,8124.0,1556.0,3430.0,1377.0,1300.0
Male,"Yes, but only the teacher demonstrated this ",1120.0,292.0,415.0,386.0,634.0,241.0,146.0,246.0,283.0,505.0,346.0,445.0,202.0,422.0,320.0,275.0,160.0,317.0,210.0,1946.0,151.0,814.0,220.0,342.0,31.0,465.0,2935.0,380.0,382.0,275.0,138.0,212.0,531.0,377.0,260.0,498.0,285.0,584.0,1300.0,264.0,936.0,488.0,252.0
Male,"Yes, students did this",1819.0,565.0,598.0,481.0,153.0,147.0,254.0,407.0,466.0,1343.0,322.0,562.0,387.0,500.0,240.0,390.0,335.0,247.0,292.0,4210.0,610.0,1365.0,185.0,323.0,41.0,444.0,4217.0,214.0,357.0,1414.0,302.0,302.0,507.0,953.0,575.0,476.0,506.0,555.0,2212.0,235.0,968.0,513.0,439.0
