ST04Q01,ST35Q04,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,550.0,1010.0,2213.0,696.0,1576.0,3042.0,760.0,3104.0,874.0,961.0,1086.0,1517.0,291.0,670.0,1012.0,1068.0,1203.0,912.0,1624.0,326.0,852.0,598.0,950.0,897.0,982.0,473.0,1044.0,910.0,652.0,5543.0,969.0,970.0,949.0,819.0,859.0,37.0,568.0,773.0,981.0,791.0,290.0,5470.0,852.0,882.0,658.0,763.0,328.0,856.0,980.0,868.0,1419.0,836.0,983.0,851.0,837.0,864.0,977.0,4143.0,846.0,1901.0,1284.0,585.0,626.0,1495.0,2042.0,823.0,981.0,1119.0
Female,Disagree,99.0,105.0,277.0,203.0,380.0,229.0,238.0,278.0,151.0,167.0,410.0,199.0,31.0,104.0,127.0,235.0,55.0,155.0,235.0,36.0,123.0,118.0,200.0,197.0,204.0,22.0,92.0,100.0,79.0,574.0,518.0,209.0,176.0,206.0,253.0,9.0,159.0,185.0,292.0,97.0,28.0,614.0,150.0,162.0,79.0,64.0,72.0,62.0,125.0,74.0,254.0,199.0,216.0,193.0,44.0,263.0,199.0,504.0,73.0,345.0,181.0,142.0,105.0,272.0,193.0,88.0,106.0,212.0
Female,Strongly agree,683.0,842.0,2036.0,612.0,777.0,3254.0,586.0,3712.0,1265.0,598.0,466.0,1353.0,232.0,695.0,503.0,411.0,1218.0,487.0,980.0,260.0,547.0,643.0,495.0,313.0,468.0,599.0,723.0,660.0,1073.0,3856.0,367.0,1144.0,780.0,492.0,305.0,50.0,707.0,658.0,373.0,941.0,251.0,5311.0,480.0,277.0,633.0,653.0,165.0,1067.0,456.0,897.0,1588.0,568.0,498.0,455.0,935.0,289.0,505.0,3619.0,670.0,1416.0,982.0,758.0,806.0,1977.0,1887.0,705.0,745.0,429.0
Female,Strongly disagree,14.0,26.0,37.0,34.0,60.0,55.0,54.0,58.0,36.0,12.0,75.0,45.0,4.0,36.0,20.0,34.0,7.0,20.0,24.0,9.0,24.0,22.0,24.0,32.0,40.0,4.0,10.0,14.0,16.0,134.0,125.0,53.0,25.0,56.0,28.0,,48.0,43.0,49.0,17.0,3.0,126.0,45.0,36.0,13.0,11.0,7.0,13.0,22.0,10.0,159.0,86.0,39.0,35.0,7.0,45.0,49.0,115.0,6.0,58.0,14.0,55.0,36.0,61.0,28.0,14.0,16.0,18.0
Male,Agree,511.0,845.0,2267.0,567.0,1431.0,2567.0,788.0,2873.0,764.0,951.0,1034.0,1286.0,283.0,566.0,826.0,1003.0,1060.0,887.0,1650.0,310.0,737.0,532.0,870.0,943.0,780.0,507.0,1014.0,836.0,403.0,5248.0,1022.0,694.0,1037.0,882.0,833.0,34.0,614.0,743.0,1041.0,778.0,273.0,4855.0,736.0,952.0,639.0,770.0,353.0,888.0,866.0,859.0,1243.0,791.0,918.0,764.0,798.0,885.0,1095.0,3940.0,729.0,1576.0,1046.0,492.0,704.0,1333.0,1937.0,853.0,751.0,959.0
Male,Disagree,82.0,115.0,197.0,134.0,216.0,220.0,202.0,281.0,93.0,178.0,349.0,178.0,26.0,77.0,113.0,167.0,58.0,103.0,202.0,19.0,99.0,96.0,139.0,267.0,134.0,30.0,119.0,47.0,48.0,598.0,525.0,195.0,123.0,178.0,172.0,8.0,113.0,151.0,345.0,78.0,22.0,476.0,119.0,169.0,62.0,52.0,35.0,57.0,126.0,81.0,270.0,217.0,144.0,126.0,44.0,173.0,201.0,443.0,97.0,234.0,166.0,130.0,145.0,226.0,140.0,78.0,79.0,183.0
Male,Strongly agree,684.0,730.0,2360.0,800.0,952.0,2845.0,692.0,3637.0,1300.0,539.0,512.0,1223.0,244.0,682.0,675.0,503.0,1205.0,546.0,978.0,264.0,580.0,743.0,631.0,384.0,538.0,578.0,668.0,719.0,910.0,4341.0,467.0,1080.0,730.0,658.0,381.0,54.0,774.0,779.0,385.0,682.0,233.0,5234.0,611.0,316.0,687.0,689.0,202.0,920.0,449.0,902.0,1636.0,567.0,617.0,548.0,1008.0,442.0,640.0,3714.0,639.0,1764.0,701.0,622.0,722.0,2011.0,2059.0,685.0,718.0,334.0
Male,Strongly disagree,15.0,47.0,46.0,51.0,52.0,68.0,59.0,87.0,28.0,26.0,61.0,32.0,7.0,27.0,38.0,36.0,14.0,31.0,36.0,11.0,20.0,30.0,55.0,32.0,26.0,19.0,16.0,9.0,24.0,245.0,148.0,137.0,20.0,59.0,24.0,2.0,45.0,75.0,67.0,27.0,7.0,134.0,55.0,29.0,8.0,30.0,10.0,14.0,28.0,19.0,234.0,79.0,21.0,33.0,12.0,42.0,90.0,170.0,19.0,87.0,19.0,55.0,40.0,122.0,35.0,11.0,23.0,13.0
