ST04Q01,EC04Q04B,Australia,Austria,Belgium,Canada,China-Shanghai,Croatia,Denmark,Finland,Hong Kong-China,Hungary,Ireland,Italy,Korea,Latvia,Luxembourg,Macao-China,New Zealand,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,1,2775.0,622.0,938.0,4290.0,269.0,839.0,1556.0,1363.0,417.0,735.0,432.0,3334.0,504.0,673.0,693.0,646.0,753.0,797.0,669.0,570.0,479.0,755.0
Female,2,4058.0,1710.0,3246.0,6507.0,2367.0,1640.0,2167.0,2973.0,1675.0,1778.0,2107.0,11853.0,1835.0,1507.0,1880.0,1947.0,1366.0,1980.0,1645.0,2176.0,1721.0,1918.0
Male,1,2945.0,699.0,1087.0,4585.0,331.0,1144.0,1462.0,1431.0,517.0,880.0,569.0,4690.0,711.0,810.0,846.0,847.0,813.0,943.0,970.0,776.0,756.0,1309.0
Male,2,4143.0,1655.0,3038.0,5812.0,2207.0,1371.0,2143.0,2920.0,1863.0,1378.0,1880.0,11046.0,1978.0,1292.0,1823.0,1875.0,1311.0,1830.0,1283.0,2006.0,1642.0,1859.0
