ST04Q01,ST23Q08,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,293.0,411.0,244.0,113.0,426.0,9.0,146.0,339.0,399.0,150.0
Female,Disagree,145.0,104.0,84.0,82.0,172.0,8.0,93.0,107.0,106.0,46.0
Female,Strongly agree,258.0,375.0,355.0,34.0,423.0,8.0,81.0,385.0,351.0,132.0
Female,Strongly disagree,59.0,39.0,56.0,21.0,97.0,2.0,66.0,17.0,29.0,26.0
Male,Agree,284.0,379.0,264.0,118.0,456.0,23.0,128.0,341.0,488.0,178.0
Male,Disagree,142.0,127.0,117.0,76.0,187.0,18.0,86.0,102.0,117.0,68.0
Male,Strongly agree,290.0,325.0,263.0,61.0,514.0,19.0,104.0,502.0,621.0,173.0
Male,Strongly disagree,73.0,57.0,57.0,30.0,105.0,14.0,53.0,32.0,71.0,28.0
