ST04Q01,ST42Q10,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,543,686,1878,402,1102,2412,679,2469,622,885,872,1174,160,434,686,703,915,580,1183,184,677,402,588,602,688,367,879,716,526,4259,672,696,935,708,690,35,547,533,634,693,190,3968,639,490,598,562,301,874,659,838,1225,759,851,676,613,614,727,3363,464,1325,1189,545,634,1212,1549,489,597,967
Female,Disagree,390,183,1046,373,617,377,417,1493,109,286,283,264,188,84,356,465,706,451,731,164,233,348,480,238,342,297,521,379,431,1245,389,286,555,135,313,24,232,364,325,294,189,685,348,450,308,324,100,202,359,341,735,443,309,233,322,410,356,1078,442,880,345,169,283,720,953,443,187,344
Female,Strongly agree,227,967,1291,399,766,3435,350,2280,1459,528,807,1333,103,981,481,352,496,323,658,167,556,379,363,484,442,283,348,467,473,3988,781,1197,269,653,375,22,591,537,644,669,115,6428,408,218,397,463,138,747,335,528,912,406,419,514,776,246,507,3305,337,1073,874,671,476,1335,1291,354,833,347
Female,Strongly disagree,151,99,382,350,238,172,209,855,76,60,93,166,92,74,138,217,307,263,276,120,106,268,281,73,172,178,107,117,314,553,126,195,172,65,85,6,152,239,129,117,89,429,156,194,84,137,23,109,192,140,490,127,105,128,120,166,164,530,263,398,99,127,156,478,328,290,153,91
Male,Agree,553,660,1750,397,964,2325,602,2152,628,695,777,1028,155,395,647,619,629,521,938,179,580,318,519,619,542,386,844,582,425,4034,727,668,914,777,580,30,640,519,605,643,135,4173,564,434,527,519,302,864,595,789,1067,707,814,593,552,583,798,3229,374,1121,920,431,627,1091,1442,470,545,761
Male,Disagree,353,219,1493,424,773,554,469,1831,144,443,378,340,193,114,402,542,871,483,1018,202,298,384,497,372,449,354,542,497,384,1708,584,317,592,257,372,34,313,447,468,307,200,949,374,610,441,440,150,248,420,441,710,379,434,249,323,553,524,1443,515,1037,425,195,351,724,1385,587,221,391
Male,Strongly agree,259,761,805,293,518,2464,347,1446,1319,357,593,1092,55,702,381,260,250,251,296,97,369,244,318,434,296,145,281,322,268,3683,618,883,239,613,285,20,347,363,424,550,62,4987,342,114,250,290,94,538,237,403,868,392,354,485,763,220,408,2507,189,663,434,523,466,1204,712,261,621,275
Male,Strongly disagree,181,150,641,436,412,261,269,1388,115,202,207,194,132,95,219,278,609,287,571,132,174,405,327,197,229,246,153,237,340,1000,267,210,149,143,118,21,243,417,306,119,144,558,213,290,180,253,44,136,226,218,562,132,164,162,188,238,288,999,425,859,90,111,186,596,609,344,159,113
