ST04Q01,ST80Q11,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,418,657,981,277,427,1976,699,2123,692,559,550,1103,161,452,367,348,360,291,481,202,300,204,341,221,250,167,481,419,548,1718,113,1122,678,167,343,15,374,233,331,597,177,3845,372,127,340,171,170,733,356,507,1237,553,505,367,474,242,365,2105,297,688,841,497,484,1630,1102,492,592,285
Female,Never or rarely,47,117,389,153,206,536,45,341,139,96,59,155,16,189,93,65,150,39,133,46,121,133,132,79,114,98,61,152,90,1283,474,126,45,201,26,6,35,211,81,110,27,881,86,129,100,124,4,105,49,61,242,107,34,85,52,82,88,513,103,217,44,101,100,137,299,80,132,72
Female,Often,558,629,1656,600,1082,1975,607,2736,742,556,826,1018,213,421,660,740,968,760,1196,235,651,499,681,588,727,440,1031,599,651,3714,397,757,827,520,723,31,717,600,723,579,228,3449,577,494,498,519,248,549,694,773,1157,602,722,656,799,578,742,3190,621,1559,1098,508,505,1259,1562,612,575,773
Female,Sometimes,270,531,1569,500,1003,1923,312,1889,701,550,619,646,148,500,532,588,936,526,1042,146,497,559,553,511,551,420,282,509,467,3322,980,388,378,673,368,32,395,620,600,475,150,3320,515,604,456,665,142,562,448,511,756,470,424,436,504,538,553,2502,489,1220,525,399,460,733,1156,394,460,618
Male,Always or almost always,440,627,1087,310,438,1825,576,2047,707,514,578,1018,166,425,349,381,424,320,499,191,307,266,403,323,265,221,483,345,486,2133,168,940,682,211,327,27,363,340,369,459,185,3804,399,177,354,196,171,719,350,537,1262,546,552,389,486,304,401,2133,315,782,570,387,463,1474,1020,460,494,232
Male,Never or rarely,39,111,381,108,242,401,87,377,139,61,95,121,23,127,85,77,116,68,143,35,129,88,100,84,85,93,92,150,67,1252,391,204,42,237,40,4,51,204,94,101,18,668,108,124,78,119,13,87,86,75,254,83,42,85,76,85,125,630,83,220,41,113,111,233,231,83,106,73
Male,Often,595,605,1806,672,1101,1927,682,2792,799,652,793,924,197,397,639,758,1026,716,1248,203,603,534,664,671,706,444,951,602,532,3925,625,615,806,637,627,39,680,652,771,580,215,3447,554,565,562,581,283,566,666,776,1046,578,773,618,812,700,839,3175,640,1592,791,422,599,1218,1708,684,570,713
Male,Sometimes,278,448,1430,467,892,1462,351,1599,574,470,483,600,146,343,577,481,802,439,946,177,383,447,494,541,456,380,295,540,318,3097,1017,350,354,703,356,34,455,552,567,482,117,2716,416,580,397,607,121,434,384,458,684,397,396,388,455,501,655,2232,471,1081,449,332,450,695,1184,436,387,524
