ST04Q01,ST96Q05,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,definitely do this,627,775,1752,645,1131,2490,601,3316,1040,587,864,1033,218,725,644,586,895,441,1299,222,699,489,624,498,535,546,732,620,774,3034,612,1104,863,431,451,44,550,634,756,827,220,4811,655,451,510,600,222,748,450,792,1367,714,610,782,743,617,688,3120,622,1580,632,573,738,1832,1485,610,648,354
Female,definitely not do this,48,146,186,73,141,351,84,236,103,99,62,139,22,79,77,95,154,103,101,36,82,84,102,67,74,57,60,73,76,626,174,117,77,103,86,1,141,120,46,65,26,422,76,57,81,71,35,79,96,49,192,86,124,63,74,75,75,334,59,161,83,129,62,126,177,99,139,54
Female,probably do this,554,809,2096,604,1242,2855,722,2944,952,822,935,1354,244,606,767,813,1103,766,1196,299,597,605,751,674,860,381,906,818,745,5119,844,922,781,821,710,35,593,708,755,783,250,5220,634,705,627,644,258,825,832,848,1423,726,782,579,783,620,786,3835,710,1580,1334,609,645,1445,1930,716,812,1203
Female,probably not do this,97,203,502,230,282,683,201,662,217,231,181,336,63,107,173,248,305,257,276,61,147,206,188,193,222,102,141,167,175,1260,353,208,188,211,200,16,189,193,137,139,65,1023,144,174,154,163,55,168,200,161,352,163,219,108,225,150,176,999,181,404,411,178,128,307,535,167,192,161
Male,definitely do this,609,540,1175,391,654,1632,447,1998,621,496,788,729,134,452,495,294,413,190,548,169,457,302,509,475,250,288,573,400,461,2369,620,904,786,399,303,18,311,393,585,559,140,3488,559,235,316,273,155,514,230,509,1274,540,451,551,683,356,423,2062,305,895,410,429,654,1598,971,407,421,242
Male,definitely not do this,54,263,420,191,395,594,190,587,243,169,89,186,41,144,162,245,381,257,304,49,189,204,215,127,193,174,81,167,105,1193,276,244,113,190,189,13,264,255,93,89,37,711,168,176,167,249,78,145,271,147,333,138,175,138,139,201,255,814,192,452,106,162,125,277,394,121,179,106
Male,probably do this,520,640,2317,628,1047,2390,766,3067,973,773,876,1216,281,558,741,762,975,707,1370,262,552,552,715,787,687,445,929,772,605,4933,847,701,733,834,631,44,674,697,946,702,246,4966,583,702,620,663,263,836,689,907,1249,735,756,610,805,687,888,3752,663,1581,1035,471,624,1307,1982,767,653,933
Male,probably not do this,95,250,877,350,519,874,302,1206,333,259,210,382,99,199,242,404,525,405,602,104,220,335,238,234,337,200,196,263,201,1835,423,242,249,349,290,22,282,372,213,178,96,1426,198,356,282,330,100,236,282,292,368,240,300,165,236,296,436,1536,282,720,379,192,203,378,785,277,245,194
