ST04Q01,ST79Q08,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,719,514,800,231,486,1753,718,1993,662,770,403,923,125,356,389,391,330,151,437,154,371,141,372,192,251,87,498,206,344,1274,269,1179,1062,218,231,10,389,223,389,620,125,3058,355,128,215,105,230,506,152,346,1189,548,723,494,383,264,346,1166,153,499,985,511,454,1604,696,384,543,568
Female,Most Lessons,302,414,1044,334,699,1484,442,2017,505,490,588,676,153,332,418,513,458,272,787,140,378,299,383,397,417,187,788,269,404,1912,498,578,545,576,352,23,484,298,575,453,157,2709,360,267,307,260,168,421,221,498,945,394,485,418,522,364,490,1688,302,852,799,353,385,948,944,350,412,526
Female,Never or Hardly Ever,90,361,1161,469,613,1422,131,1109,440,111,256,441,87,349,273,219,812,519,543,135,363,428,387,237,342,495,88,653,441,3300,304,229,50,143,319,20,181,585,141,155,93,2133,395,470,407,572,37,319,639,378,477,286,125,184,299,295,343,2494,545,1055,92,285,205,418,1066,317,283,160
Female,Some Lessons,204,681,1590,505,942,1815,377,1990,668,389,808,958,179,522,581,616,834,673,1077,207,469,527,571,573,637,364,492,553,574,3549,890,393,277,625,561,32,473,555,628,544,208,3610,458,498,462,552,129,738,535,614,806,505,353,460,623,520,579,3011,519,1293,633,392,511,812,1417,536,551,499
Male,Every Lesson,671,500,763,261,392,1547,649,1830,543,678,340,765,160,313,439,362,329,148,468,144,342,166,395,220,248,157,496,194,235,1515,280,920,929,210,238,16,403,251,395,497,122,3155,400,154,246,136,244,506,158,339,1162,524,736,455,384,279,427,1208,221,546,686,440,496,1366,669,389,470,515
Male,Most Lessons,326,442,1231,391,652,1381,546,2103,572,490,525,698,139,295,523,534,484,300,882,194,367,337,375,479,451,275,760,304,324,2248,613,542,649,602,367,29,523,385,655,483,173,2860,377,301,338,317,181,432,293,556,923,405,555,486,523,446,661,1758,355,909,669,296,455,931,1048,442,425,541
Male,Never or Hardly Ever,97,269,1092,399,675,1156,142,1024,408,127,342,358,69,259,205,186,743,470,447,95,295,377,349,265,238,392,91,589,351,3028,406,227,56,213,253,23,152,537,147,185,86,1581,330,484,346,493,37,226,531,339,486,226,102,145,314,293,329,2570,443,975,70,229,214,483,1013,276,222,107
Male,Some Lessons,270,591,1617,508,974,1594,367,1895,682,395,749,902,172,430,492,618,806,631,1040,185,428,467,553,656,579,322,476,554,507,3598,900,386,254,768,498,36,478,581,606,476,161,3072,397,506,470,572,127,655,493,614,695,461,374,405,611,575,611,2711,500,1263,447,320,465,870,1427,564,460,382
