ST04Q01,EC08Q01,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,About equally <heritage language> and <test language>,88.0,174.0,439.0,125.0,154.0,72.0,63.0,50.0,334.0,2.0,103.0,261.0,124.0,53.0,584.0,136.0,66.0
Female,Mostly <heritage language> ,161.0,260.0,630.0,149.0,113.0,169.0,60.0,95.0,393.0,1.0,176.0,227.0,1314.0,275.0,153.0,366.0,131.0
Female,Mostly <test language>,378.0,664.0,2723.0,854.0,470.0,429.0,224.0,532.0,1496.0,100.0,196.0,529.0,1075.0,204.0,1542.0,528.0,218.0
Female,Not applicable,34.0,49.0,304.0,78.0,41.0,33.0,7.0,11.0,82.0,5.0,22.0,43.0,191.0,7.0,31.0,79.0,19.0
Male,About equally <heritage language> and <test language>,92.0,128.0,494.0,108.0,136.0,77.0,51.0,62.0,325.0,4.0,79.0,255.0,212.0,65.0,511.0,147.0,98.0
Male,Mostly <heritage language> ,338.0,313.0,857.0,200.0,88.0,338.0,74.0,108.0,745.0,8.0,221.0,307.0,1396.0,403.0,131.0,619.0,322.0
Male,Mostly <test language>,364.0,585.0,3009.0,720.0,378.0,385.0,267.0,563.0,1396.0,151.0,118.0,461.0,841.0,189.0,1550.0,552.0,201.0
Male,Not applicable,66.0,90.0,425.0,133.0,60.0,73.0,7.0,34.0,192.0,40.0,29.0,141.0,238.0,35.0,70.0,194.0,65.0
