ST04Q01,ST17Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,<ISCED level 1> ,45.0,520.0,379.0,21.0,114.0,2230.0,27.0,145.0,155.0,145.0,132.0,751.0,12.0,471.0,14.0,9.0,94.0,7.0,101.0,22.0,28.0,9.0,223.0,335.0,10.0,,821.0,142.0,51.0,489.0,,184.0,7.0,30.0,2.0,2.0,12.0,236.0,477.0,206.0,21.0,3188.0,12.0,97.0,51.0,12.0,1.0,368.0,,807.0,256.0,73.0,2.0,15.0,290.0,10.0,17.0,1322.0,39.0,145.0,1228.0,438.0,832.0,169.0,56.0,89.0,705.0,494.0
Female,<ISCED level 2> ,595.0,515.0,1651.0,124.0,464.0,1882.0,214.0,1082.0,584.0,774.0,546.0,829.0,56.0,374.0,257.0,66.0,669.0,251.0,478.0,98.0,404.0,859.0,384.0,487.0,317.0,325.0,533.0,612.0,222.0,4991.0,157.0,544.0,386.0,95.0,187.0,22.0,234.0,399.0,854.0,558.0,61.0,4749.0,141.0,916.0,329.0,172.0,162.0,357.0,121.0,710.0,527.0,262.0,381.0,218.0,214.0,88.0,269.0,3208.0,279.0,1000.0,477.0,274.0,575.0,676.0,721.0,226.0,810.0,973.0
Female,<ISCED level 3A> ,1058.0,1307.0,3463.0,770.0,2325.0,2921.0,1087.0,8903.0,2271.0,1239.0,1218.0,2020.0,694.0,593.0,1388.0,1650.0,1327.0,1374.0,1456.0,739.0,970.0,601.0,1366.0,451.0,1162.0,760.0,1036.0,1440.0,1594.0,6945.0,2165.0,2307.0,1553.0,1701.0,992.0,38.0,1203.0,929.0,392.0,1608.0,737.0,4107.0,589.0,911.0,686.0,1011.0,306.0,1840.0,1253.0,606.0,2470.0,1555.0,1187.0,331.0,2059.0,1410.0,339.0,4887.0,1432.0,1289.0,1152.0,1040.0,667.0,3689.0,1982.0,1885.0,626.0,707.0
Female,"<ISCED level 3B, 3C> ",400.0,,675.0,1255.0,770.0,742.0,1025.0,,,399.0,1113.0,,,237.0,722.0,803.0,1277.0,528.0,1968.0,,688.0,266.0,481.0,621.0,822.0,495.0,148.0,149.0,602.0,1959.0,380.0,378.0,735.0,382.0,673.0,68.0,573.0,526.0,564.0,113.0,,2325.0,1459.0,,691.0,820.0,263.0,,864.0,257.0,1495.0,545.0,718.0,1692.0,,591.0,1870.0,1951.0,362.0,2697.0,589.0,159.0,96.0,617.0,2679.0,,144.0,115.0
Female,He did not complete <ISCED level 1> ,262.0,220.0,31.0,13.0,60.0,1538.0,14.0,61.0,142.0,50.0,12.0,616.0,3.0,208.0,2.0,3.0,40.0,2.0,88.0,6.0,29.0,38.0,18.0,107.0,5.0,,213.0,13.0,48.0,79.0,,75.0,3.0,10.0,1.0,1.0,4.0,120.0,202.0,147.0,16.0,1786.0,3.0,40.0,20.0,5.0,1.0,277.0,4.0,240.0,187.0,10.0,,4.0,72.0,2.0,4.0,353.0,35.0,60.0,149.0,234.0,122.0,233.0,16.0,54.0,156.0,295.0
Male,<ISCED level 1> ,48.0,413.0,388.0,19.0,100.0,1778.0,33.0,139.0,100.0,143.0,130.0,594.0,11.0,353.0,13.0,9.0,63.0,6.0,109.0,21.0,12.0,4.0,172.0,359.0,11.0,,705.0,99.0,25.0,452.0,,160.0,2.0,40.0,11.0,3.0,6.0,177.0,569.0,171.0,11.0,2841.0,15.0,74.0,51.0,13.0,,344.0,,743.0,199.0,65.0,3.0,14.0,261.0,8.0,18.0,1140.0,38.0,138.0,868.0,311.0,782.0,104.0,57.0,84.0,506.0,407.0
Male,<ISCED level 2> ,551.0,499.0,1651.0,135.0,341.0,1744.0,235.0,928.0,499.0,734.0,523.0,809.0,49.0,399.0,223.0,68.0,614.0,255.0,369.0,89.0,344.0,914.0,384.0,503.0,220.0,252.0,546.0,604.0,138.0,5111.0,160.0,461.0,422.0,117.0,155.0,27.0,296.0,380.0,875.0,515.0,56.0,4577.0,148.0,990.0,239.0,177.0,192.0,381.0,109.0,746.0,465.0,232.0,426.0,166.0,227.0,99.0,269.0,3150.0,262.0,1002.0,380.0,201.0,589.0,670.0,653.0,223.0,765.0,821.0
Male,<ISCED level 3A> ,1045.0,1288.0,3684.0,782.0,2360.0,2846.0,1092.0,8612.0,2292.0,1179.0,1218.0,2001.0,709.0,563.0,1442.0,1628.0,1355.0,1301.0,1465.0,720.0,923.0,594.0,1354.0,669.0,1147.0,817.0,966.0,1423.0,1399.0,7127.0,2386.0,1937.0,1561.0,1931.0,861.0,40.0,972.0,1014.0,367.0,1381.0,695.0,4031.0,616.0,1009.0,716.0,1077.0,352.0,1710.0,1227.0,600.0,2580.0,1511.0,1188.0,373.0,2043.0,1554.0,406.0,5248.0,1368.0,1399.0,924.0,897.0,695.0,3591.0,2000.0,1956.0,606.0,688.0
Male,"<ISCED level 3B, 3C> ",411.0,,675.0,1228.0,901.0,769.0,1057.0,,,412.0,958.0,,,237.0,746.0,803.0,1235.0,568.0,2014.0,,653.0,228.0,500.0,647.0,712.0,507.0,197.0,158.0,415.0,2201.0,403.0,376.0,638.0,487.0,722.0,73.0,751.0,519.0,567.0,134.0,,2187.0,1411.0,,689.0,824.0,223.0,,714.0,290.0,1571.0,558.0,628.0,1650.0,,635.0,2285.0,1816.0,399.0,2570.0,461.0,127.0,142.0,601.0,2706.0,,158.0,96.0
Male,He did not complete <ISCED level 1> ,207.0,183.0,31.0,19.0,62.0,1149.0,31.0,61.0,128.0,40.0,16.0,421.0,3.0,148.0,3.0,5.0,46.0,3.0,97.0,14.0,12.0,23.0,19.0,97.0,7.0,,200.0,21.0,39.0,112.0,,102.0,4.0,7.0,4.0,2.0,10.0,137.0,208.0,138.0,13.0,1431.0,1.0,46.0,14.0,10.0,1.0,249.0,6.0,252.0,184.0,12.0,3.0,2.0,99.0,3.0,4.0,318.0,27.0,72.0,126.0,205.0,153.0,221.0,22.0,43.0,122.0,225.0
