ST04Q01,IC22Q04,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Agree,2615.0,723.0,1853.0,829.0,1357.0,1719.0,432.0,1091.0,969.0,1048.0,954.0,2299.0,720.0,1001.0,990.0,1200.0,639.0,1207.0,745.0,6298.0,1422.0,715.0,1453.0,1067.0,57.0,1376.0,5113.0,1061.0,815.0,625.0,337.0,1048.0,995.0,1007.0,990.0,1276.0,967.0,1171.0,4046.0,775.0,2438.0,931.0,681.0
Female,Disagree,144.0,143.0,194.0,46.0,137.0,194.0,36.0,99.0,61.0,92.0,43.0,391.0,152.0,105.0,49.0,96.0,57.0,100.0,73.0,667.0,469.0,133.0,303.0,112.0,22.0,160.0,464.0,70.0,46.0,33.0,23.0,65.0,57.0,102.0,139.0,89.0,89.0,104.0,290.0,60.0,665.0,163.0,49.0
Female,Strongly agree,3899.0,1382.0,1794.0,2494.0,1086.0,1116.0,1661.0,1227.0,1516.0,2031.0,1353.0,1476.0,1132.0,1344.0,1008.0,1067.0,788.0,1164.0,1197.0,6870.0,739.0,2428.0,473.0,973.0,54.0,997.0,10594.0,919.0,1168.0,1456.0,475.0,1198.0,1713.0,1416.0,1078.0,1315.0,1077.0,1300.0,7358.0,1295.0,2045.0,1112.0,1556.0
Female,Strongly disagree,42.0,35.0,52.0,17.0,39.0,36.0,40.0,22.0,13.0,12.0,7.0,51.0,33.0,39.0,7.0,36.0,16.0,23.0,27.0,196.0,231.0,77.0,103.0,11.0,4.0,16.0,263.0,13.0,12.0,15.0,6.0,16.0,8.0,19.0,52.0,25.0,14.0,26.0,77.0,19.0,173.0,68.0,19.0
Male,Agree,2789.0,679.0,1491.0,840.0,1171.0,1383.0,343.0,908.0,777.0,857.0,766.0,1986.0,571.0,881.0,1050.0,874.0,530.0,1073.0,648.0,5303.0,1343.0,747.0,1470.0,842.0,46.0,1429.0,4737.0,1038.0,783.0,598.0,314.0,857.0,934.0,845.0,782.0,1114.0,900.0,1123.0,3716.0,610.0,2002.0,931.0,520.0
Male,Disagree,208.0,171.0,195.0,64.0,142.0,233.0,39.0,145.0,63.0,87.0,56.0,434.0,159.0,179.0,60.0,149.0,80.0,111.0,121.0,1016.0,504.0,316.0,419.0,129.0,17.0,207.0,595.0,129.0,66.0,61.0,46.0,109.0,74.0,142.0,192.0,107.0,155.0,239.0,433.0,71.0,636.0,209.0,48.0
Male,Strongly agree,3823.0,1351.0,1971.0,2273.0,1133.0,1159.0,1446.0,1333.0,1613.0,2097.0,1435.0,1590.0,1196.0,1296.0,1165.0,1059.0,902.0,1103.0,1068.0,7508.0,870.0,1815.0,484.0,1062.0,85.0,973.0,9418.0,962.0,1113.0,1501.0,496.0,1111.0,1700.0,1469.0,1114.0,1458.0,1215.0,1522.0,7293.0,1329.0,2476.0,1133.0,1426.0
Male,Strongly disagree,77.0,74.0,92.0,17.0,70.0,126.0,35.0,65.0,35.0,30.0,16.0,144.0,72.0,68.0,30.0,53.0,38.0,51.0,49.0,428.0,368.0,127.0,297.0,31.0,6.0,58.0,306.0,31.0,30.0,31.0,14.0,47.0,28.0,49.0,99.0,48.0,50.0,82.0,197.0,65.0,250.0,106.0,23.0
