ST04Q01,ST85Q01,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,569,972,2485,665,1380,3217,739,3715,1088,885,1179,1454,315,680,833,827,1467,844,1528,311,696,654,843,812,773,573,1092,845,804,5090,1106,921,875,1030,822,30,639,719,1087,890,314,5782,809,833,793,905,313,1008,815,992,1523,725,792,800,1010,749,926,4460,843,1720,1542,639,679,1762,2216,845,904,1074
Female,Disagree,70,289,543,321,379,606,237,729,275,408,344,203,41,89,340,345,422,254,635,66,309,278,399,304,296,129,189,216,230,1675,227,132,58,263,141,15,147,297,259,108,50,905,168,255,193,149,41,139,347,290,436,214,133,297,86,205,241,1316,250,597,170,172,195,296,367,168,178,160
Female,Strongly agree,660,581,1491,488,878,2446,622,2486,853,419,478,1144,182,783,411,503,429,483,568,235,432,398,368,235,517,396,558,585,663,2800,555,1292,988,218,477,38,676,532,348,738,207,4625,535,213,360,385,208,707,318,524,1252,744,733,384,706,457,551,2259,351,1231,776,615,618,1574,1470,530,649,514
Female,Strongly disagree,17,88,92,57,95,105,56,147,61,49,54,38,5,20,76,67,83,38,112,17,127,58,97,45,61,20,18,35,42,464,64,51,10,52,19,1,60,101,37,14,12,195,47,55,27,38,2,27,67,46,145,51,28,65,28,28,36,299,58,127,23,80,58,86,66,35,29,7
Male,Agree,574,886,2515,665,1375,2751,737,3546,1068,884,1085,1252,279,529,807,847,1449,820,1586,328,602,622,813,950,700,570,1059,822,630,5237,1282,632,876,1154,828,44,684,726,1077,845,296,5250,707,886,802,892,299,926,739,938,1256,661,800,722,983,786,1138,4264,791,1690,1073,482,736,1543,2171,916,727,914
Male,Disagree,77,197,359,227,321,434,187,590,233,341,287,142,62,66,255,241,296,246,491,58,246,219,312,276,205,88,162,165,160,1353,272,118,64,284,91,14,215,252,280,122,40,741,143,221,132,166,36,106,317,228,332,165,131,207,80,225,202,1167,205,440,122,137,155,242,294,142,105,86
Male,Strongly agree,678,623,1710,608,867,2325,714,2523,858,418,491,1174,188,681,530,537,535,440,629,209,459,445,444,330,550,448,556,593,570,3278,536,1259,943,283,415,46,587,626,386,618,192,4464,594,290,431,408,243,709,348,639,1480,731,801,497,742,538,618,2419,449,1387,655,559,672,1675,1613,554,680,546
Male,Strongly disagree,25,83,110,57,106,104,65,170,48,53,90,36,7,18,64,71,62,35,109,18,108,67,96,63,59,23,30,54,51,541,95,105,17,73,24,1,67,134,53,28,6,172,55,49,20,43,12,16,76,51,179,55,35,63,26,47,67,347,46,152,17,68,66,122,64,36,38,2
