ST04Q01,ST80Q07,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Always or almost always,375,698,1166,253,423,1805,528,2211,766,486,337,1030,170,446,191,337,341,334,289,196,360,263,316,170,357,183,283,369,469,1501,331,1012,587,259,297,13,219,250,155,558,183,3733,324,147,324,158,126,744,216,518,1223,530,436,303,477,302,224,2015,154,714,570,476,397,1594,1059,457,540,249
Female,Never or rarely,72,171,440,237,374,762,122,432,152,145,224,206,33,232,245,176,216,165,341,50,160,148,228,108,198,150,190,242,181,1757,347,130,110,186,93,4,181,260,387,129,38,1012,156,252,123,211,23,135,191,92,252,144,75,187,81,184,186,823,224,303,128,146,160,201,305,114,181,149
Female,Often,504,580,1701,528,935,1889,575,2815,794,626,714,1000,204,447,552,652,1002,580,967,221,616,534,624,558,590,405,866,600,570,3394,640,800,738,592,606,40,519,618,405,617,242,3412,552,448,519,550,263,563,553,753,1193,600,709,521,816,520,631,3013,502,1570,946,506,506,1198,1638,589,588,756
Female,Sometimes,340,492,1291,512,989,1919,434,1635,555,502,775,689,128,436,659,572,872,535,1237,162,432,451,542,563,496,386,514,464,533,3365,643,444,491,524,460,28,596,531,787,457,117,3342,514,517,424,565,151,508,586,492,709,460,461,529,455,434,704,2496,626,1096,861,377,475,765,1109,410,439,589
Male,Always or almost always,345,604,1177,292,430,1561,512,2134,755,472,358,987,182,376,253,352,358,304,310,173,333,278,385,214,339,200,298,349,403,1927,341,839,519,244,284,23,263,337,194,453,165,3543,345,171,329,183,141,708,238,544,1257,531,452,354,465,363,292,1996,209,815,357,383,427,1422,988,497,482,221
Male,Never or rarely,86,147,347,149,350,608,108,351,142,105,250,170,26,148,144,118,129,130,222,41,112,92,166,148,135,98,173,174,124,1454,355,178,111,252,76,4,104,199,300,129,25,694,149,194,80,124,27,91,150,72,246,114,77,126,84,123,182,789,117,249,91,128,149,251,257,98,126,128
Male,Often,562,658,1946,627,988,1866,644,2908,871,678,721,920,180,454,630,727,1093,631,1125,253,601,590,605,687,686,448,862,635,516,3894,823,701,776,669,596,50,621,675,522,566,228,3696,535,546,578,633,273,557,571,802,1058,586,787,582,861,638,811,3210,574,1634,776,428,597,1224,1842,653,566,735
Male,Sometimes,357,383,1230,488,909,1530,431,1430,456,438,616,580,143,311,621,495,782,479,1167,140,366,369,504,567,356,386,481,474,358,3123,683,371,477,623,384,27,558,526,783,477,120,2696,449,537,402,561,147,444,519,432,659,380,441,410,418,461,729,2219,608,980,628,308,445,705,1058,424,373,457
