ST04Q01,ST24Q03,Belgium,Denmark,Finland,Hong Kong-China,Italy,Korea,Portugal,Serbia,Slovak Republic,Slovenia
Female,Agree,286.0,247.0,208.0,103.0,370.0,18.0,137.0,395.0,397.0,136.0
Female,Disagree,193.0,339.0,255.0,99.0,347.0,8.0,138.0,120.0,201.0,87.0
Female,Strongly agree,184.0,129.0,164.0,26.0,297.0,3.0,83.0,332.0,195.0,120.0
Female,Strongly disagree,80.0,171.0,102.0,20.0,143.0,2.0,31.0,35.0,40.0,9.0
Male,Agree,277.0,256.0,218.0,119.0,413.0,21.0,166.0,385.0,531.0,184.0
Male,Disagree,169.0,253.0,183.0,94.0,276.0,17.0,93.0,135.0,246.0,96.0
Male,Strongly agree,226.0,176.0,206.0,45.0,470.0,20.0,81.0,436.0,414.0,133.0
Male,Strongly disagree,96.0,165.0,79.0,22.0,138.0,18.0,28.0,48.0,67.0,31.0
