ST04Q01,IC22Q06,Australia,Austria,Belgium,Chile,China-Shanghai,Chinese Taipei,Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Germany,Greece,Hong Kong-China,Hungary,Iceland,Ireland,Israel,Italy,Japan,Jordan,Korea,Latvia,Liechtenstein,Macao-China,Mexico,Netherlands,New Zealand,Norway,Perm(Russian Federation),Poland,Portugal,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,Uruguay
Female,Agree,1365.0,372.0,765.0,351.0,301.0,351.0,299.0,572.0,272.0,276.0,215.0,401.0,350.0,561.0,338.0,798.0,103.0,382.0,244.0,1907.0,717.0,397.0,558.0,237.0,23.0,505.0,3571.0,378.0,338.0,198.0,181.0,179.0,502.0,599.0,501.0,732.0,409.0,844.0,2206.0,241.0,858.0,379.0,207.0
Female,Disagree,3818.0,1065.0,1845.0,1786.0,1653.0,1751.0,1056.0,1217.0,1639.0,1593.0,1419.0,2362.0,1037.0,1357.0,1315.0,987.0,712.0,1533.0,958.0,7216.0,1320.0,1237.0,1345.0,1327.0,65.0,1546.0,7346.0,1113.0,1127.0,1028.0,486.0,1310.0,1457.0,1412.0,1186.0,1350.0,1174.0,965.0,5349.0,1023.0,2519.0,1084.0,1182.0
Female,Strongly agree,336.0,149.0,227.0,163.0,38.0,59.0,196.0,261.0,110.0,97.0,55.0,84.0,112.0,203.0,63.0,300.0,39.0,84.0,137.0,780.0,370.0,411.0,87.0,104.0,5.0,111.0,2144.0,117.0,132.0,52.0,61.0,58.0,169.0,197.0,214.0,259.0,201.0,404.0,1020.0,100.0,310.0,265.0,143.0
Female,Strongly disagree,1159.0,686.0,1050.0,1046.0,625.0,908.0,614.0,379.0,542.0,1205.0,665.0,1362.0,539.0,363.0,338.0,303.0,646.0,494.0,699.0,4107.0,462.0,1293.0,343.0,493.0,42.0,387.0,3371.0,455.0,436.0,842.0,110.0,774.0,644.0,334.0,356.0,361.0,359.0,391.0,3170.0,780.0,1633.0,547.0,763.0
Male,Agree,1526.0,429.0,731.0,479.0,342.0,336.0,251.0,595.0,389.0,282.0,260.0,490.0,359.0,562.0,318.0,672.0,152.0,438.0,330.0,2363.0,754.0,646.0,691.0,325.0,19.0,518.0,3572.0,462.0,434.0,209.0,243.0,254.0,606.0,726.0,548.0,676.0,594.0,920.0,2373.0,257.0,975.0,530.0,268.0
Male,Disagree,3394.0,942.0,1506.0,1464.0,1318.0,1309.0,765.0,973.0,1263.0,1079.0,1193.0,1939.0,831.0,1067.0,1292.0,733.0,585.0,1192.0,748.0,6038.0,1222.0,712.0,1368.0,1029.0,59.0,1424.0,5671.0,1016.0,889.0,868.0,396.0,999.0,1114.0,1084.0,906.0,1136.0,918.0,919.0,4576.0,685.0,2072.0,821.0,747.0
Male,Strongly agree,502.0,199.0,338.0,267.0,96.0,118.0,190.0,361.0,214.0,201.0,138.0,208.0,198.0,323.0,109.0,407.0,98.0,153.0,208.0,1482.0,519.0,883.0,182.0,196.0,12.0,180.0,2782.0,161.0,193.0,149.0,121.0,183.0,346.0,361.0,355.0,322.0,388.0,527.0,1491.0,203.0,533.0,443.0,269.0
Male,Strongly disagree,1466.0,716.0,1163.0,948.0,757.0,1144.0,656.0,518.0,620.0,1493.0,682.0,1514.0,608.0,469.0,585.0,318.0,718.0,555.0,596.0,4351.0,598.0,736.0,429.0,512.0,63.0,549.0,3032.0,517.0,473.0,957.0,111.0,693.0,664.0,335.0,378.0,590.0,413.0,600.0,3177.0,922.0,1776.0,584.0,722.0
