ST04Q01,ST46Q05,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Agree,655,947,1965,607,1295,3231,755,3214,1018,829,723,1503,250,668,705,780,1105,762,1370,274,700,560,857,629,700,519,1122,665,821,4872,840,890,1064,584,699,40,619,668,758,1000,261,5521,706,597,595,638,258,900,723,952,1471,834,745,758,1011,568,906,3463,780,1650,1466,638,662,1743,1902,716,875,1075
Female,Disagree,256,494,1680,378,874,1486,479,2126,704,547,928,810,190,263,631,721,912,592,959,215,513,376,408,555,704,231,177,738,294,2744,740,207,335,677,587,32,428,399,628,239,184,3396,433,493,508,539,242,634,606,449,502,465,714,410,361,648,365,3014,443,1128,550,237,369,523,1282,557,502,476
Female,Strongly agree,382,399,676,471,512,1544,321,1477,493,329,213,633,86,528,236,134,330,165,382,100,229,348,309,178,204,319,560,223,631,2010,285,1205,499,123,122,22,290,483,250,577,98,2180,314,172,200,233,53,334,162,360,1230,324,228,280,420,135,377,1321,305,717,401,549,456,1421,866,271,338,206
Female,Strongly disagree,37,116,238,85,103,188,64,300,105,35,177,77,25,39,86,109,100,55,152,34,100,96,95,72,84,27,5,56,49,453,119,63,25,192,41,2,140,107,59,20,23,399,66,92,69,61,15,52,93,68,156,67,53,82,29,106,75,559,46,222,47,86,79,72,96,65,100,19
Male,Agree,594,831,2114,617,1185,2652,765,2823,999,740,657,1256,226,630,647,643,1024,715,1291,258,610,515,757,772,591,559,1036,626,600,4656,928,742,1001,677,591,34,599,661,793,804,226,5042,673,634,634,721,236,832,580,879,1387,842,715,663,929,539,966,3052,768,1532,1109,545,674,1656,1933,668,719,915
Male,Disagree,274,434,1670,378,877,1434,503,2213,611,509,810,708,191,250,600,708,804,572,951,198,461,397,448,510,582,243,254,666,249,3160,734,285,425,733,576,27,471,384,653,252,169,3076,416,567,490,476,267,627,593,582,521,474,692,413,395,660,537,3167,334,1044,480,227,460,522,1306,548,414,359
Male,Strongly agree,404,327,717,427,402,1234,323,1220,471,401,256,568,104,419,237,139,377,173,361,91,212,333,331,268,185,272,494,207,443,1748,336,961,439,189,156,27,291,473,256,444,87,2151,297,139,182,246,66,306,155,275,1180,252,225,270,460,132,355,1114,287,728,296,434,380,1323,732,253,280,191
Male,Strongly disagree,19,121,343,129,157,247,122,579,100,47,237,90,30,46,165,215,93,109,236,53,141,146,148,79,110,42,16,109,78,823,172,107,42,177,91,11,175,210,140,43,53,387,138,119,86,82,29,56,137,118,201,84,73,124,80,200,146,881,82,342,48,69,100,118,182,127,123,19
