ST04Q01,ST77Q06,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China-Shanghai,Chinese Taipei,Colombia,Connecticut (USA),Costa Rica,Croatia,Czech Republic,Denmark,Estonia,Finland,Florida (USA),France,Germany,Greece,Hong Kong-China,Hungary,Iceland,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Korea,Latvia,Liechtenstein,Lithuania,Luxembourg,Macao-China,Malaysia,Massachusetts (USA),Mexico,Montenegro,Netherlands,New Zealand,Norway,Perm(Russian Federation),Peru,Poland,Portugal,Qatar,Romania,Russian Federation,Serbia,Singapore,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Thailand,Tunisia,Turkey,United Arab Emirates,United Kingdom,United States of America,Uruguay,Vietnam
Female,Every Lesson,835,982,1793,427,889,3703,878,2787,1082,847,854,1726,198,895,583,545,1000,470,1051,198,501,401,723,450,493,518,1202,617,705,3916,536,1212,1109,265,552,34,579,468,524,779,229,6953,668,270,469,489,257,1082,467,833,1475,808,744,613,742,481,619,2774,590,1482,1636,592,680,1513,1464,535,888,960
Female,Most Lessons,294,440,1382,379,787,1421,451,2119,605,497,725,700,184,357,453,471,782,526,998,164,422,373,469,535,532,388,396,415,517,2689,727,564,547,587,494,28,459,425,606,494,186,2529,469,445,407,538,150,518,410,554,901,489,463,424,638,419,539,2469,528,1060,572,325,468,1078,1213,397,470,627
Female,Never or Hardly Ever,24,166,476,328,378,363,87,648,148,88,53,125,37,87,185,246,166,157,193,92,272,250,134,65,185,51,28,248,150,1139,173,225,29,124,81,10,118,370,94,80,47,384,114,226,164,113,30,59,218,102,378,116,119,146,93,173,163,936,96,383,26,218,77,379,480,186,117,30
Female,Some Lessons,162,386,969,403,685,1004,252,1564,440,328,423,480,126,225,440,478,499,463,618,178,384,373,390,350,440,177,242,400,397,2293,532,393,250,587,335,13,370,411,508,430,125,1649,313,416,352,357,127,346,453,355,684,319,362,369,361,363,436,2185,304,775,276,413,322,827,975,470,317,139
Male,Every Lesson,860,872,1925,509,875,3178,876,2872,1043,769,835,1514,212,754,627,565,1062,502,1020,197,519,463,661,550,495,538,1097,580,541,4005,642,1060,991,313,575,44,564,612,587,638,224,6323,722,334,515,540,264,1060,468,838,1452,746,831,669,686,527,675,2713,652,1643,1227,455,693,1568,1500,542,780,903
Male,Most Lessons,293,456,1484,434,760,1366,443,2105,610,506,660,682,168,323,463,465,747,512,1060,169,371,376,516,598,511,384,442,412,456,2985,830,479,642,685,423,27,500,443,622,521,174,2605,409,462,472,501,164,494,385,592,867,456,440,388,712,488,709,2429,486,1065,416,266,489,940,1295,521,437,534
Male,Never or Hardly Ever,40,140,440,246,416,313,117,612,170,104,82,118,50,67,188,261,166,132,220,75,228,209,145,96,166,67,43,279,143,1211,179,288,44,197,90,10,140,334,117,87,36,386,130,235,120,164,57,38,254,98,418,97,159,132,98,181,191,1039,116,355,33,251,110,456,464,180,105,16
Male,Some Lessons,158,345,852,370,652,848,277,1270,398,317,377,417,115,156,382,407,401,399,555,174,324,302,355,378,346,163,229,367,292,2199,554,288,212,598,265,23,350,373,477,395,107,1351,247,422,298,314,106,253,376,331,577,317,334,304,337,393,457,2065,272,627,190,310,335,697,909,427,263,100
