ST04Q01,EC11Q03,Austria,Belgium,Canada,Denmark,Finland,Germany,Hong Kong-China,Ireland,Italy,Korea,Latvia,Luxembourg,Portugal,Serbia,Singapore,Slovak Republic,Slovenia
Female,"No, never",2241.0,3961.0,9665.0,3423.0,693.0,2051.0,1898.0,2401.0,12436.0,2332.0,2047.0,2343.0,2114.0,2132.0,1795.0,1845.0,552.0
Female,Yes,90.0,220.0,1151.0,298.0,249.0,53.0,193.0,139.0,508.0,9.0,136.0,232.0,708.0,214.0,946.0,356.0,59.0
Male,"No, never",2200.0,3883.0,9051.0,3298.0,629.0,1980.0,2175.0,2303.0,11314.0,2674.0,1945.0,2350.0,1994.0,2018.0,1698.0,1851.0,804.0
Male,Yes,166.0,236.0,1386.0,302.0,264.0,108.0,205.0,149.0,768.0,15.0,160.0,324.0,826.0,272.0,1081.0,551.0,189.0
